Round0, ROCAUC0.598746081505, LOGLOSS0.638236686587, F1 MACRO0.561128526646, F1 POS0.363636363636, ACCURACY0.65, PRECISION0.561128526646, RECALL0.561128526646
Round1, ROCAUC0.366402116402, LOGLOSS0.660755584637, F1 MACRO0.496623376623, F1 POS0.24, ACCURACY0.627450980392, PRECISION0.508035714286, RECALL0.511904761905
Round2, ROCAUC0.375, LOGLOSS0.719534682957, F1 MACRO0.34328358209, F1 POS0.0, ACCURACY0.522727272727, PRECISION0.294871794872, RECALL0.410714285714
Round3, ROCAUC0.427469135802, LOGLOSS0.739587350219, F1 MACRO0.43956043956, F1 POS0.307692307692, ACCURACY0.470588235294, PRECISION0.480769230769, RECALL0.486111111111
Round4, ROCAUC0.517346938776, LOGLOSS0.681987677302, F1 MACRO0.45739046702, F1 POS0.258064516129, ACCURACY0.530612244898, PRECISION0.461397058824, RECALL0.457142857143
Round5, ROCAUC0.486111111111, LOGLOSS0.693797342155, F1 MACRO0.452380952381, F1 POS0.571428571429, ACCURACY0.478260869565, PRECISION0.469696969697, RECALL0.464285714286
Round6, ROCAUC0.428191489362, LOGLOSS0.770588403398, F1 MACRO0.253558424363, F1 POS0.22641509434, ACCURACY0.254545454545, PRECISION0.466666666667, RECALL0.460106382979
Round7, ROCAUC0.617886178862, LOGLOSS0.509676134333, F1 MACRO0.522357723577, F1 POS0.166666666667, ACCURACY0.787234042553, PRECISION0.522357723577, RECALL0.522357723577
Round8, ROCAUC0.685714285714, LOGLOSS0.61074071659, F1 MACRO0.55, F1 POS0.3, ACCURACY0.688888888889, PRECISION0.55, RECALL0.55
Round9, ROCAUC0.43724137931, LOGLOSS0.71863227586, F1 MACRO0.475, F1 POS0.416666666667, ACCURACY0.481481481481, PRECISION0.475455820477, RECALL0.475862068966
Round10, ROCAUC0.774074074074, LOGLOSS0.686652186589, F1 MACRO0.660869565217, F1 POS0.521739130435, ACCURACY0.717948717949, PRECISION0.654285714286, RECALL0.7
Round11, ROCAUC0.323529411765, LOGLOSS0.626055104228, F1 MACRO0.452631578947, F1 POS0.0, ACCURACY0.826923076923, PRECISION0.488636363636, RECALL0.421568627451
Round12, ROCAUC0.49025974026, LOGLOSS0.785992472768, F1 MACRO0.275362318841, F1 POS0.0, ACCURACY0.38, PRECISION0.202127659574, RECALL0.431818181818
Round13, ROCAUC0.516666666667, LOGLOSS0.743524236338, F1 MACRO0.281896551724, F1 POS0.15, ACCURACY0.30612244898, PRECISION0.503205128205, RECALL0.508333333333
Round14, ROCAUC0.55737704918, LOGLOSS0.634911474429, F1 MACRO0.501639344262, F1 POS0.2, ACCURACY0.684210526316, PRECISION0.501639344262, RECALL0.501639344262
Round15, ROCAUC0.44025974026, LOGLOSS0.723046682326, F1 MACRO0.396802325581, F1 POS0.418604651163, ACCURACY0.397590361446, PRECISION0.434553349876, RECALL0.431493506494
Round16, ROCAUC0.500674763833, LOGLOSS0.665210360289, F1 MACRO0.485714285714, F1 POS0.228571428571, ACCURACY0.614285714286, PRECISION0.497159090909, RECALL0.495951417004
Round17, ROCAUC0.524767801858, LOGLOSS0.728684248789, F1 MACRO0.376470588235, F1 POS0.4, ACCURACY0.377358490566, PRECISION0.417483660131, RECALL0.421826625387
Round18, ROCAUC0.66953125, LOGLOSS0.690348017101, F1 MACRO0.532233883058, F1 POS0.586206896552, ACCURACY0.538461538462, PRECISION0.616541353383, RECALL0.596875
Round19, ROCAUC0.685714285714, LOGLOSS0.682498468803, F1 MACRO0.559468438538, F1 POS0.604651162791, ACCURACY0.564102564103, PRECISION0.674137931034, RECALL0.644285714286
Round20, ROCAUC0.343434343434, LOGLOSS0.704763422994, F1 MACRO0.392857142857, F1 POS0.285714285714, ACCURACY0.411764705882, PRECISION0.402777777778, RECALL0.393939393939
Round21, ROCAUC0.420314253648, LOGLOSS0.727523890138, F1 MACRO0.422908772952, F1 POS0.547945205479, ACCURACY0.45, PRECISION0.467391304348, RECALL0.476430976431
Round22, ROCAUC0.556451612903, LOGLOSS0.717690372153, F1 MACRO0.348323170732, F1 POS0.634146341463, ACCURACY0.473684210526, PRECISION0.732142857143, RECALL0.516129032258
