Round0, ROCAUC0.507836990596, LOGLOSS0.640276373923, F1 MACRO0.439775910364, F1 POS0.117647058824, ACCURACY0.625, PRECISION0.436274509804, RECALL0.459247648903
Round1, ROCAUC0.460317460317, LOGLOSS0.648565866784, F1 MACRO0.483805668016, F1 POS0.230769230769, ACCURACY0.607843137255, PRECISION0.5, RECALL0.5
Round2, ROCAUC0.395089285714, LOGLOSS0.719184125012, F1 MACRO0.381939799331, F1 POS0.0869565217391, ACCURACY0.522727272727, PRECISION0.368725868726, RECALL0.424107142857
Round3, ROCAUC0.296296296296, LOGLOSS0.770633142368, F1 MACRO0.300207900208, F1 POS0.108108108108, ACCURACY0.352941176471, PRECISION0.29512195122, RECALL0.37037037037
Round4, ROCAUC0.315306122449, LOGLOSS0.69713997476, F1 MACRO0.311111111111, F1 POS0.114285714286, ACCURACY0.367346938776, PRECISION0.333333333333, RECALL0.3
Round5, ROCAUC0.590277777778, LOGLOSS0.692971970724, F1 MACRO0.541160284338, F1 POS0.674157303371, ACCURACY0.579710144928, PRECISION0.544425087108, RECALL0.550595238095
Round6, ROCAUC0.438829787234, LOGLOSS0.68164747249, F1 MACRO0.383012820513, F1 POS0.125, ACCURACY0.490909090909, PRECISION0.444892473118, RECALL0.390957446809
Round7, ROCAUC0.589430894309, LOGLOSS0.583625137172, F1 MACRO0.692810457516, F1 POS0.444444444444, ACCURACY0.893617021277, PRECISION0.787878787879, RECALL0.654471544715
Round8, ROCAUC0.754285714286, LOGLOSS0.615467415253, F1 MACRO0.621394230769, F1 POS0.461538461538, ACCURACY0.688888888889, PRECISION0.618534482759, RECALL0.657142857143
Round9, ROCAUC0.48275862069, LOGLOSS0.698619861294, F1 MACRO0.453784443669, F1 POS0.382978723404, ACCURACY0.462962962963, PRECISION0.454545454545, RECALL0.455862068966
Round10, ROCAUC0.607407407407, LOGLOSS0.633851485375, F1 MACRO0.584615384615, F1 POS0.307692307692, ACCURACY0.769230769231, PRECISION0.65, RECALL0.577777777778
Round11, ROCAUC0.254901960784, LOGLOSS0.626157421332, F1 MACRO0.463917525773, F1 POS0.0, ACCURACY0.865384615385, PRECISION0.489130434783, RECALL0.441176470588
Round12, ROCAUC0.676948051948, LOGLOSS0.677869572639, F1 MACRO0.616161616162, F1 POS0.577777777778, ACCURACY0.62, PRECISION0.655080213904, RECALL0.641233766234
Round13, ROCAUC0.527777777778, LOGLOSS0.696173053007, F1 MACRO0.463223787167, F1 POS0.222222222222, ACCURACY0.571428571429, PRECISION0.545986622074, RECALL0.652777777778
Round14, ROCAUC0.617486338798, LOGLOSS0.565388859495, F1 MACRO0.481818181818, F1 POS0.1, ACCURACY0.763157894737, PRECISION0.501408450704, RECALL0.500546448087
Round15, ROCAUC0.461688311688, LOGLOSS0.692909116127, F1 MACRO0.49696969697, F1 POS0.666666666667, ACCURACY0.55421686747, PRECISION0.497023809524, RECALL0.497077922078
Round16, ROCAUC0.421052631579, LOGLOSS0.680593900595, F1 MACRO0.50406717397, F1 POS0.27027027027, ACCURACY0.614285714286, PRECISION0.517210144928, RECALL0.525641025641
Round17, ROCAUC0.549535603715, LOGLOSS0.717707058731, F1 MACRO0.407500901551, F1 POS0.474576271186, ACCURACY0.415094339623, PRECISION0.482692307692, RECALL0.486068111455
Round18, ROCAUC0.5046875, LOGLOSS0.694891816148, F1 MACRO0.471186440678, F1 POS0.542372881356, ACCURACY0.480769230769, PRECISION0.551282051282, RECALL0.540625
Round19, ROCAUC0.611428571429, LOGLOSS0.693465070847, F1 MACRO0.507641196013, F1 POS0.558139534884, ACCURACY0.512820512821, PRECISION0.606896551724, RECALL0.588571428571
Round20, ROCAUC0.515151515152, LOGLOSS0.698233487559, F1 MACRO0.481074481074, F1 POS0.358974358974, ACCURACY0.509803921569, PRECISION0.483333333333, RECALL0.482323232323
Round21, ROCAUC0.43265993266, LOGLOSS0.733802607159, F1 MACRO0.377777777778, F1 POS0.533333333333, ACCURACY0.416666666667, PRECISION0.416666666667, RECALL0.446127946128
Round22, ROCAUC0.634615384615, LOGLOSS0.697699133764, F1 MACRO0.329411764706, F1 POS0.6, ACCURACY0.438596491228, PRECISION0.388888888889, RECALL0.477667493797
