Round0, ROCAUC0.526645768025, LOGLOSS0.642865838856, F1 MACRO0.54233409611, F1 POS0.347826086957, ACCURACY0.625, PRECISION0.541666666667, RECALL0.543887147335
Round1, ROCAUC0.373015873016, LOGLOSS0.666327595711, F1 MACRO0.432186234818, F1 POS0.153846153846, ACCURACY0.56862745098, PRECISION0.455882352941, RECALL0.43253968254
Round2, ROCAUC0.292410714286, LOGLOSS0.695339804346, F1 MACRO0.323076923077, F1 POS0.0, ACCURACY0.477272727273, PRECISION0.283783783784, RECALL0.375
Round3, ROCAUC0.479938271605, LOGLOSS0.695484209294, F1 MACRO0.424193548387, F1 POS0.3, ACCURACY0.450980392157, PRECISION0.454453441296, RECALL0.465277777778
Round4, ROCAUC0.366326530612, LOGLOSS0.736900852651, F1 MACRO0.355263157895, F1 POS0.210526315789, ACCURACY0.387755102041, PRECISION0.383333333333, RECALL0.357142857143
Round5, ROCAUC0.519345238095, LOGLOSS0.693214556445, F1 MACRO0.501204819277, F1 POS0.602409638554, ACCURACY0.521739130435, PRECISION0.518907563025, RECALL0.522321428571
Round6, ROCAUC0.441489361702, LOGLOSS0.691472017765, F1 MACRO0.392380952381, F1 POS0.171428571429, ACCURACY0.472727272727, PRECISION0.46626984127, RECALL0.432180851064
Round7, ROCAUC0.593495934959, LOGLOSS0.590899107938, F1 MACRO0.536692223439, F1 POS0.181818181818, ACCURACY0.808510638298, PRECISION0.540476190476, RECALL0.534552845528
Round8, ROCAUC0.714285714286, LOGLOSS0.622141885757, F1 MACRO0.656084656085, F1 POS0.518518518519, ACCURACY0.711111111111, PRECISION0.65231092437, RECALL0.707142857143
Round9, ROCAUC0.51724137931, LOGLOSS0.704923081729, F1 MACRO0.507713884993, F1 POS0.434782608696, ACCURACY0.518518518519, PRECISION0.510822510823, RECALL0.510344827586
Round10, ROCAUC0.788888888889, LOGLOSS0.552844240879, F1 MACRO0.507575757576, F1 POS0.166666666667, ACCURACY0.74358974359, PRECISION0.555555555556, RECALL0.522222222222
Round11, ROCAUC0.0392156862745, LOGLOSS0.648243748225, F1 MACRO0.446808510638, F1 POS0.0, ACCURACY0.807692307692, PRECISION0.488372093023, RECALL0.411764705882
Round12, ROCAUC0.641233766234, LOGLOSS0.682559068203, F1 MACRO0.616161616162, F1 POS0.654545454545, ACCURACY0.62, PRECISION0.615942028986, RECALL0.616883116883
Round13, ROCAUC0.713888888889, LOGLOSS0.724616789088, F1 MACRO0.239832285115, F1 POS0.177777777778, ACCURACY0.244897959184, PRECISION0.548780487805, RECALL0.588888888889
Round14, ROCAUC0.679781420765, LOGLOSS0.621228304741, F1 MACRO0.530352599055, F1 POS0.190476190476, ACCURACY0.776315789474, PRECISION0.57380952381, RECALL0.533879781421
Round15, ROCAUC0.483116883117, LOGLOSS0.713868131839, F1 MACRO0.466756312565, F1 POS0.556701030928, ACCURACY0.481927710843, PRECISION0.479965156794, RECALL0.477597402597
Round16, ROCAUC0.472334682861, LOGLOSS0.711835974455, F1 MACRO0.419152276295, F1 POS0.244897959184, ACCURACY0.471428571429, PRECISION0.480392156863, RECALL0.467611336032
Round17, ROCAUC0.524767801858, LOGLOSS0.719814570445, F1 MACRO0.433760683761, F1 POS0.444444444444, ACCURACY0.433962264151, PRECISION0.476984126984, RECALL0.477554179567
Round18, ROCAUC0.70546875, LOGLOSS0.676482067085, F1 MACRO0.574404761905, F1 POS0.607142857143, ACCURACY0.576923076923, PRECISION0.642361111111, RECALL0.628125
Round19, ROCAUC0.628571428571, LOGLOSS0.696184133108, F1 MACRO0.587301587302, F1 POS0.619047619048, ACCURACY0.589743589744, PRECISION0.686688311688, RECALL0.664285714286
Round20, ROCAUC0.611111111111, LOGLOSS0.656701207161, F1 MACRO0.490299823633, F1 POS0.190476190476, ACCURACY0.666666666667, PRECISION0.666666666667, RECALL0.540404040404
Round21, ROCAUC0.491582491582, LOGLOSS0.726386787494, F1 MACRO0.377777777778, F1 POS0.533333333333, ACCURACY0.416666666667, PRECISION0.416666666667, RECALL0.446127946128
Round22, ROCAUC0.601736972705, LOGLOSS0.692031650167, F1 MACRO0.509920634921, F1 POS0.638888888889, ACCURACY0.543859649123, PRECISION0.613636363636, RECALL0.571339950372
Round23, ROCAUC0.572329688814, LOGLOSS0.688027937072, F1 MACRO0.571678321678, F1 POS0.681818181818, ACCURACY0.6, PRECISION0.580018501388, RECALL0.572750210261
