Round0, ROCAUC0.547021943574, LOGLOSS0.674863575399, F1 MACRO0.561128526646, F1 POS0.363636363636, ACCURACY0.65, PRECISION0.561128526646, RECALL0.561128526646
Round1, ROCAUC0.493386243386, LOGLOSS0.685271500372, F1 MACRO0.443636363636, F1 POS0.16, ACCURACY0.588235294118, PRECISION0.4625, RECALL0.444444444444
Round2, ROCAUC0.348214285714, LOGLOSS0.713377853009, F1 MACRO0.352941176471, F1 POS0.0, ACCURACY0.545454545455, PRECISION0.3, RECALL0.428571428571
Round3, ROCAUC0.354938271605, LOGLOSS0.711585093947, F1 MACRO0.300207900208, F1 POS0.108108108108, ACCURACY0.352941176471, PRECISION0.29512195122, RECALL0.37037037037
Round4, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.222222222222, F1 POS0.444444444444, ACCURACY0.285714285714, PRECISION0.142857142857, RECALL0.5
Round5, ROCAUC0.673611111111, LOGLOSS0.676911482345, F1 MACRO0.641304347826, F1 POS0.760869565217, ACCURACY0.68115942029, PRECISION0.637727272727, RECALL0.650297619048
Round6, ROCAUC0.410904255319, LOGLOSS0.688913912123, F1 MACRO0.535024154589, F1 POS0.222222222222, ACCURACY0.745454545455, PRECISION0.533333333333, RECALL0.539893617021
Round7, ROCAUC0.55487804878, LOGLOSS0.672440974002, F1 MACRO0.623397435897, F1 POS0.375, ACCURACY0.787234042553, PRECISION0.609459459459, RECALL0.664634146341
Round8, ROCAUC0.642857142857, LOGLOSS0.617206324471, F1 MACRO0.550264550265, F1 POS0.37037037037, ACCURACY0.622222222222, PRECISION0.557773109244, RECALL0.578571428571
Round9, ROCAUC0.561379310345, LOGLOSS0.689556874611, F1 MACRO0.55, F1 POS0.5, ACCURACY0.555555555556, PRECISION0.551192145863, RECALL0.550344827586
Round10, ROCAUC0.485185185185, LOGLOSS0.605032710693, F1 MACRO0.434782608696, F1 POS0.0, ACCURACY0.769230769231, PRECISION0.384615384615, RECALL0.5
Round11, ROCAUC0.813725490196, LOGLOSS0.672935906511, F1 MACRO0.482954545455, F1 POS0.125, ACCURACY0.730769230769, PRECISION0.533333333333, RECALL0.862745098039
Round12, ROCAUC0.538149350649, LOGLOSS0.699086951017, F1 MACRO0.406593406593, F1 POS0.228571428571, ACCURACY0.46, PRECISION0.506644518272, RECALL0.503246753247
Round13, ROCAUC0.566666666667, LOGLOSS0.705771672482, F1 MACRO0.39678030303, F1 POS0.1875, ACCURACY0.469387755102, PRECISION0.529761904762, RECALL0.597222222222
Round14, ROCAUC0.60218579235, LOGLOSS0.663042386896, F1 MACRO0.493468408424, F1 POS0.193548387097, ACCURACY0.671052631579, PRECISION0.49375, RECALL0.493442622951
Round15, ROCAUC0.420779220779, LOGLOSS0.75332721996, F1 MACRO0.369005847953, F1 POS0.315789473684, ACCURACY0.373493975904, PRECISION0.438940092166, RECALL0.448376623377
Round16, ROCAUC0.379217273954, LOGLOSS0.781870530333, F1 MACRO0.2141253317, F1 POS0.225352112676, ACCURACY0.214285714286, PRECISION0.360632183908, RECALL0.369095816464
Round17, ROCAUC0.557275541796, LOGLOSS0.702996448526, F1 MACRO0.489839572193, F1 POS0.509090909091, ACCURACY0.490566037736, PRECISION0.547385620915, RECALL0.544891640867
Round18, ROCAUC0.478125, LOGLOSS0.701934860303, F1 MACRO0.383703703704, F1 POS0.36, ACCURACY0.384615384615, PRECISION0.4, RECALL0.396875
Round19, ROCAUC0.708571428571, LOGLOSS0.66894881924, F1 MACRO0.665787738958, F1 POS0.648648648649, ACCURACY0.666666666667, PRECISION0.698369565217, RECALL0.708571428571
Round20, ROCAUC0.387205387205, LOGLOSS0.699234050863, F1 MACRO0.467060427079, F1 POS0.258064516129, ACCURACY0.549019607843, PRECISION0.46963562753, RECALL0.474747474747
Round21, ROCAUC0.485970819304, LOGLOSS0.72409671396, F1 MACRO0.451428571429, F1 POS0.542857142857, ACCURACY0.466666666667, PRECISION0.485636114911, RECALL0.488215488215
Round22, ROCAUC0.56017369727, LOGLOSS0.700118215461, F1 MACRO0.391025641026, F1 POS0.615384615385, ACCURACY0.473684210526, PRECISION0.530769230769, RECALL0.509925558313
Round23, ROCAUC0.602186711522, LOGLOSS0.671066805295, F1 MACRO0.614452522582, F1 POS0.719101123596, ACCURACY0.642857142857, PRECISION0.628787878788, RECALL0.614381833474
Round24, ROCAUC0.47783933518, LOGLOSS0.693751810413, F1 MACRO0.504347826087, F1 POS0.608695652174, ACCURACY0.526315789474, PRECISION0.531986531987, RECALL0.526315789474
Round25, ROCAUC0.502777777778, LOGLOSS0.693269931264, F1 MACRO0.524942711088, F1 POS0.623655913978, ACCURACY0.545454545455, PRECISION0.526221264368, RECALL0.525347222222
Round26, ROCAUC0.530701754386, LOGLOSS0.689960342001, F1 MACRO0.567251461988, F1 POS0.555555555556, ACCURACY0.567567567568, PRECISION0.569117647059, RECALL0.568713450292
Round27, ROCAUC0.48813559322, LOGLOSS0.664273265419, F1 MACRO0.514912280702, F1 POS0.263157894737, ACCURACY0.645569620253, PRECISION0.515938069217, RECALL0.514830508475
Round28, ROCAUC0.681818181818, LOGLOSS0.722595877426, F1 MACRO0.301400560224, F1 POS0.43137254902, ACCURACY0.325581395349, PRECISION0.6375, RECALL0.546875
Round29, ROCAUC0.551086956522, LOGLOSS0.724517553572, F1 MACRO0.439359267735, F1 POS0.385964912281, ACCURACY0.444444444444, PRECISION0.50831202046, RECALL0.507065217391
