Round0, ROCAUC0.507836990596, LOGLOSS0.671904502064, F1 MACRO0.52380952381, F1 POS0.333333333333, ACCURACY0.6, PRECISION0.524216524217, RECALL0.526645768025
Round1, ROCAUC0.414021164021, LOGLOSS0.683582273184, F1 MACRO0.514901712112, F1 POS0.210526315789, ACCURACY0.705882352941, PRECISION0.514634146341, RECALL0.515873015873
Round2, ROCAUC0.410714285714, LOGLOSS0.70526731827, F1 MACRO0.369791666667, F1 POS0.0833333333333, ACCURACY0.5, PRECISION0.354166666667, RECALL0.40625
Round3, ROCAUC0.483024691358, LOGLOSS0.731726690835, F1 MACRO0.412828947368, F1 POS0.263157894737, ACCURACY0.450980392157, PRECISION0.452272727273, RECALL0.467592592593
Round4, ROCAUC0.357142857143, LOGLOSS0.710445223414, F1 MACRO0.363023591719, F1 POS0.129032258065, ACCURACY0.448979591837, PRECISION0.371323529412, RECALL0.357142857143
Round5, ROCAUC0.585813492063, LOGLOSS0.690216378025, F1 MACRO0.616666666667, F1 POS0.733333333333, ACCURACY0.652173913043, PRECISION0.615079365079, RECALL0.629464285714
Round6, ROCAUC0.519946808511, LOGLOSS0.683324550499, F1 MACRO0.45, F1 POS0.2, ACCURACY0.563636363636, PRECISION0.492424242424, RECALL0.485372340426
Round7, ROCAUC0.497967479675, LOGLOSS0.649283343807, F1 MACRO0.402432283029, F1 POS0.148148148148, ACCURACY0.510638297872, PRECISION0.470695970696, RECALL0.434959349593
Round8, ROCAUC0.754285714286, LOGLOSS0.634165959888, F1 MACRO0.602272727273, F1 POS0.416666666667, ACCURACY0.688888888889, PRECISION0.597926267281, RECALL0.621428571429
Round9, ROCAUC0.391724137931, LOGLOSS0.719065694897, F1 MACRO0.366896551724, F1 POS0.413793103448, ACCURACY0.37037037037, PRECISION0.372294372294, RECALL0.377931034483
Round10, ROCAUC0.659259259259, LOGLOSS0.670040270457, F1 MACRO0.50101010101, F1 POS0.424242424242, ACCURACY0.512820512821, PRECISION0.579166666667, RECALL0.605555555556
Round11, ROCAUC0.588235294118, LOGLOSS0.601966210283, F1 MACRO0.422222222222, F1 POS0.0, ACCURACY0.730769230769, PRECISION0.487179487179, RECALL0.372549019608
Round12, ROCAUC0.581168831169, LOGLOSS0.691490578651, F1 MACRO0.594155844156, F1 POS0.545454545455, ACCURACY0.6, PRECISION0.639705882353, RECALL0.623376623377
Round13, ROCAUC0.477777777778, LOGLOSS0.664615191367, F1 MACRO0.436164383562, F1 POS0.16, ACCURACY0.571428571429, PRECISION0.511904761905, RECALL0.538888888889
Round14, ROCAUC0.653005464481, LOGLOSS0.647581471424, F1 MACRO0.47509996365, F1 POS0.0952380952381, ACCURACY0.75, PRECISION0.483333333333, RECALL0.492349726776
Round15, ROCAUC0.455519480519, LOGLOSS0.693240297128, F1 MACRO0.514935064935, F1 POS0.672727272727, ACCURACY0.566265060241, PRECISION0.514935064935, RECALL0.514935064935
Round16, ROCAUC0.462887989204, LOGLOSS0.713608618293, F1 MACRO0.416042780749, F1 POS0.290909090909, ACCURACY0.442857142857, PRECISION0.505952380952, RECALL0.509446693657
Round17, ROCAUC0.376160990712, LOGLOSS0.743896656441, F1 MACRO0.343653250774, F1 POS0.529411764706, ACCURACY0.396226415094, PRECISION0.558673469388, RECALL0.517801857585
Round18, ROCAUC0.690625, LOGLOSS0.681373411646, F1 MACRO0.517625231911, F1 POS0.545454545455, ACCURACY0.519230769231, PRECISION0.567226890756, RECALL0.5625
Round19, ROCAUC0.708571428571, LOGLOSS0.631295749774, F1 MACRO0.652024708305, F1 POS0.58064516129, ACCURACY0.666666666667, PRECISION0.651069518717, RECALL0.661428571429
Round20, ROCAUC0.340909090909, LOGLOSS0.711796637844, F1 MACRO0.313725490196, F1 POS0.313725490196, ACCURACY0.313725490196, PRECISION0.343434343434, RECALL0.343434343434
Round21, ROCAUC0.587542087542, LOGLOSS0.69043409725, F1 MACRO0.53125, F1 POS0.5625, ACCURACY0.533333333333, PRECISION0.54759106933, RECALL0.545454545455
Round22, ROCAUC0.651364764268, LOGLOSS0.682802980406, F1 MACRO0.561977948547, F1 POS0.684931506849, ACCURACY0.59649122807, PRECISION0.715957446809, RECALL0.625930521092
Round23, ROCAUC0.531959629941, LOGLOSS0.692733404466, F1 MACRO0.5625, F1 POS0.625, ACCURACY0.571428571429, PRECISION0.562448304384, RECALL0.563498738436
Round24, ROCAUC0.526315789474, LOGLOSS0.707422872907, F1 MACRO0.467787114846, F1 POS0.52380952381, ACCURACY0.473684210526, PRECISION0.472463768116, RECALL0.473684210526
Round25, ROCAUC0.468055555556, LOGLOSS0.701195578684, F1 MACRO0.47619047619, F1 POS0.571428571429, ACCURACY0.493506493506, PRECISION0.476157082749, RECALL0.476388888889
Round26, ROCAUC0.581871345029, LOGLOSS0.686810419366, F1 MACRO0.551515151515, F1 POS0.636363636364, ACCURACY0.567567567568, PRECISION0.571666666667, RECALL0.562865497076
Round27, ROCAUC0.502966101695, LOGLOSS0.70940965414, F1 MACRO0.391527599487, F1 POS0.368421052632, ACCURACY0.392405063291, PRECISION0.494565217391, RECALL0.49406779661
Round28, ROCAUC0.627840909091, LOGLOSS0.742364122424, F1 MACRO0.413529732679, F1 POS0.468085106383, ACCURACY0.418604651163, PRECISION0.652777777778, RECALL0.609375
Round29, ROCAUC0.509782608696, LOGLOSS0.669626256303, F1 MACRO0.410774410774, F1 POS0.747474747475, ACCURACY0.603174603175, PRECISION0.438559322034, RECALL0.484239130435
Round30, ROCAUC0.595238095238, LOGLOSS0.68141667233, F1 MACRO0.464468864469, F1 POS0.190476190476, ACCURACY0.604651162791, PRECISION0.485221674877, RECALL0.47619047619
Round31, ROCAUC0.573291050035, LOGLOSS0.68640213146, F1 MACRO0.586879100281, F1 POS0.472727272727, ACCURACY0.618421052632, PRECISION0.610269360269, RECALL0.592318534179
Round32, ROCAUC0.373299319728, LOGLOSS0.69190903753, F1 MACRO0.418363107603, F1 POS0.137931034483, ACCURACY0.553571428571, PRECISION0.420325203252, RECALL0.416666666667
Round33, ROCAUC0.79012345679, LOGLOSS0.641018974154, F1 MACRO0.596698113208, F1 POS0.25, ACCURACY0.894736842105, PRECISION0.580769230769, RECALL0.62962962963
Round34, ROCAUC0.307692307692, LOGLOSS0.695349659099, F1 MACRO0.38115942029, F1 POS0.0666666666667, ACCURACY0.540983606557, PRECISION0.393048128342, RECALL0.371794871795
Round35, ROCAUC0.590201465201, LOGLOSS0.618947225482, F1 MACRO0.522875816993, F1 POS0.222222222222, ACCURACY0.712328767123, PRECISION0.615671641791, RECALL0.542582417582
Round36, ROCAUC0.579259259259, LOGLOSS0.693064359518, F1 MACRO0.504761904762, F1 POS0.342857142857, ACCURACY0.557692307692, PRECISION0.57380952381, RECALL0.545925925926
Round37, ROCAUC0.452, LOGLOSS0.663400509724, F1 MACRO0.533970638443, F1 POS0.275862068966, ACCURACY0.676923076923, PRECISION0.535014005602, RECALL0.533333333333
Round38, ROCAUC0.560846560847, LOGLOSS0.656575704091, F1 MACRO0.392, F1 POS0.0, ACCURACY0.644736842105, PRECISION0.322368421053, RECALL0.5
Round39, ROCAUC0.553571428571, LOGLOSS0.68271322347, F1 MACRO0.482517482517, F1 POS0.692307692308, ACCURACY0.567567567568, PRECISION0.540322580645, RECALL0.522321428571
Round40, ROCAUC0.580357142857, LOGLOSS0.658441907167, F1 MACRO0.511278195489, F1 POS0.285714285714, ACCURACY0.615384615385, PRECISION0.512013729977, RECALL0.513392857143
Round41, ROCAUC0.53275862069, LOGLOSS0.720287920677, F1 MACRO0.449603174603, F1 POS0.321428571429, ACCURACY0.479452054795, PRECISION0.516006097561, RECALL0.524137931034
Round42, ROCAUC0.521442495127, LOGLOSS0.680779199875, F1 MACRO0.451733833177, F1 POS0.181818181818, ACCURACY0.584615384615, PRECISION0.546610169492, RECALL0.516081871345
Round43, ROCAUC0.38125, LOGLOSS0.703716065396, F1 MACRO0.351578947368, F1 POS0.263157894737, ACCURACY0.363636363636, PRECISION0.350427350427, RECALL0.354166666667
Round44, ROCAUC0.529761904762, LOGLOSS0.631130470037, F1 MACRO0.547920433996, F1 POS0.285714285714, ACCURACY0.7, PRECISION0.586378737542, RECALL0.551587301587
Round45, ROCAUC0.573660714286, LOGLOSS0.700923954447, F1 MACRO0.386996904025, F1 POS0.352941176471, ACCURACY0.388888888889, PRECISION0.515384615385, RECALL0.517857142857
Round46, ROCAUC0.534259259259, LOGLOSS0.685979391666, F1 MACRO0.454394693201, F1 POS0.222222222222, ACCURACY0.553191489362, PRECISION0.501785714286, RECALL0.500925925926
TOTAL All round, ROCAUC0.530495959567, LOGLOSS0.683079634474, F1 MACRO0.472628420772, F1 POS0.358323272996, ACCURACY0.558904621337, PRECISION0.513728264929, RECALL0.510837095095
