Round0, ROCAUC0.429467084639, LOGLOSS0.661922831088, F1 MACRO0.482312338223, F1 POS0.210526315789, ACCURACY0.625, PRECISION0.484375, RECALL0.487460815047
Round1, ROCAUC0.386243386243, LOGLOSS0.67168717174, F1 MACRO0.390649350649, F1 POS0.08, ACCURACY0.549019607843, PRECISION0.416964285714, RECALL0.376984126984
Round2, ROCAUC0.4375, LOGLOSS0.686664601619, F1 MACRO0.36231884058, F1 POS0.0, ACCURACY0.568181818182, PRECISION0.30487804878, RECALL0.446428571429
Round3, ROCAUC0.391975308642, LOGLOSS0.760498623638, F1 MACRO0.408636545382, F1 POS0.292682926829, ACCURACY0.43137254902, PRECISION0.430501930502, RECALL0.444444444444
Round4, ROCAUC0.298979591837, LOGLOSS0.706659869272, F1 MACRO0.357716701903, F1 POS0.279069767442, ACCURACY0.367346938776, PRECISION0.403448275862, RECALL0.385714285714
Round5, ROCAUC0.543650793651, LOGLOSS0.692576720231, F1 MACRO0.566247582205, F1 POS0.723404255319, ACCURACY0.623188405797, PRECISION0.565217391304, RECALL0.568452380952
Round6, ROCAUC0.303191489362, LOGLOSS0.688547073711, F1 MACRO0.386434627398, F1 POS0.0740740740741, ACCURACY0.545454545455, PRECISION0.429093567251, RECALL0.371010638298
Round7, ROCAUC0.59756097561, LOGLOSS0.52095054946, F1 MACRO0.692810457516, F1 POS0.444444444444, ACCURACY0.893617021277, PRECISION0.787878787879, RECALL0.654471544715
Round8, ROCAUC0.535714285714, LOGLOSS0.664690791236, F1 MACRO0.550264550265, F1 POS0.37037037037, ACCURACY0.622222222222, PRECISION0.557773109244, RECALL0.578571428571
Round9, ROCAUC0.484137931034, LOGLOSS0.704407290176, F1 MACRO0.429923552967, F1 POS0.292682926829, ACCURACY0.462962962963, PRECISION0.4375, RECALL0.447586206897
Round10, ROCAUC0.659259259259, LOGLOSS0.670988487892, F1 MACRO0.596153846154, F1 POS0.461538461538, ACCURACY0.641025641026, PRECISION0.608288770053, RECALL0.65
Round11, ROCAUC0.313725490196, LOGLOSS0.674731620229, F1 MACRO0.415730337079, F1 POS0.0, ACCURACY0.711538461538, PRECISION0.486842105263, RECALL0.362745098039
Round12, ROCAUC0.465909090909, LOGLOSS0.700877240896, F1 MACRO0.524596940885, F1 POS0.439024390244, ACCURACY0.54, PRECISION0.589397089397, RECALL0.569805194805
Round13, ROCAUC0.444444444444, LOGLOSS0.732392572627, F1 MACRO0.254671881791, F1 POS0.102564102564, ACCURACY0.285714285714, PRECISION0.457142857143, RECALL0.383333333333
Round14, ROCAUC0.562295081967, LOGLOSS0.614087841621, F1 MACRO0.428571428571, F1 POS0.0, ACCURACY0.75, PRECISION0.395833333333, RECALL0.467213114754
Round15, ROCAUC0.543506493506, LOGLOSS0.698452036065, F1 MACRO0.498747974665, F1 POS0.559139784946, ACCURACY0.506024096386, PRECISION0.519883040936, RECALL0.522077922078
Round16, ROCAUC0.649122807018, LOGLOSS0.613857493656, F1 MACRO0.52380952381, F1 POS0.285714285714, ACCURACY0.642857142857, PRECISION0.530303030303, RECALL0.54318488529
Round17, ROCAUC0.521671826625, LOGLOSS0.708334086639, F1 MACRO0.428879310345, F1 POS0.48275862069, ACCURACY0.433962264151, PRECISION0.500915750916, RECALL0.500773993808
