Round0, ROCAUC0.476489028213, LOGLOSS0.672899065167, F1 MACRO0.481311975591, F1 POS0.260869565217, ACCURACY0.575, PRECISION0.482142857143, RECALL0.481191222571
Round1, ROCAUC0.335978835979, LOGLOSS0.679600791604, F1 MACRO0.400641025641, F1 POS0.0833333333333, ACCURACY0.56862745098, PRECISION0.422222222222, RECALL0.388888888889
Round2, ROCAUC0.4375, LOGLOSS0.677350883457, F1 MACRO0.417647058824, F1 POS0.1, ACCURACY0.590909090909, PRECISION0.4375, RECALL0.477678571429
Round3, ROCAUC0.4375, LOGLOSS0.720992978297, F1 MACRO0.454769736842, F1 POS0.315789473684, ACCURACY0.490196078431, PRECISION0.510227272727, RECALL0.506944444444
Round4, ROCAUC0.319387755102, LOGLOSS0.745644946488, F1 MACRO0.344481605351, F1 POS0.384615384615, ACCURACY0.34693877551, PRECISION0.44976076555, RECALL0.457142857143
Round5, ROCAUC0.589285714286, LOGLOSS0.680589092814, F1 MACRO0.577723378213, F1 POS0.736842105263, ACCURACY0.63768115942, PRECISION0.576885880077, RECALL0.578869047619
Round6, ROCAUC0.519946808511, LOGLOSS0.658092077212, F1 MACRO0.468599033816, F1 POS0.111111111111, ACCURACY0.709090909091, PRECISION0.472222222222, RECALL0.466755319149
Round7, ROCAUC0.548780487805, LOGLOSS0.584974222995, F1 MACRO0.491891891892, F1 POS0.2, ACCURACY0.659574468085, PRECISION0.510822510823, RECALL0.520325203252
Round8, ROCAUC0.734285714286, LOGLOSS0.61075974173, F1 MACRO0.621394230769, F1 POS0.461538461538, ACCURACY0.688888888889, PRECISION0.618534482759, RECALL0.657142857143
Round9, ROCAUC0.589655172414, LOGLOSS0.688201950656, F1 MACRO0.53560371517, F1 POS0.561403508772, ACCURACY0.537037037037, PRECISION0.545454545455, RECALL0.544137931034
Round10, ROCAUC0.640740740741, LOGLOSS0.621096728704, F1 MACRO0.4, F1 POS0.0, ACCURACY0.666666666667, PRECISION0.371428571429, RECALL0.433333333333
Round11, ROCAUC0.196078431373, LOGLOSS0.59762137899, F1 MACRO0.458333333333, F1 POS0.0, ACCURACY0.846153846154, PRECISION0.488888888889, RECALL0.43137254902
Round12, ROCAUC0.602272727273, LOGLOSS0.702366169691, F1 MACRO0.490662139219, F1 POS0.368421052632, ACCURACY0.52, PRECISION0.5875, RECALL0.556818181818
Round13, ROCAUC0.544444444444, LOGLOSS0.699549179904, F1 MACRO0.369485294118, F1 POS0.176470588235, ACCURACY0.428571428571, PRECISION0.523684210526, RECALL0.575
Round14, ROCAUC0.445901639344, LOGLOSS0.602419529698, F1 MACRO0.495854063018, F1 POS0.111111111111, ACCURACY0.789473684211, PRECISION0.570776255708, RECALL0.51693989071
Round15, ROCAUC0.462987012987, LOGLOSS0.719236847507, F1 MACRO0.460401891253, F1 POS0.531914893617, ACCURACY0.469879518072, PRECISION0.479603729604, RECALL0.477272727273
Round16, ROCAUC0.442645074224, LOGLOSS0.693202176264, F1 MACRO0.458204334365, F1 POS0.210526315789, ACCURACY0.571428571429, PRECISION0.48, RECALL0.46963562753
Round17, ROCAUC0.565015479876, LOGLOSS0.710999288649, F1 MACRO0.423913043478, F1 POS0.5, ACCURACY0.433962264151, PRECISION0.516260162602, RECALL0.512383900929
Round18, ROCAUC0.6953125, LOGLOSS0.673772824498, F1 MACRO0.557528671846, F1 POS0.549019607843, ACCURACY0.557692307692, PRECISION0.582949308756, RECALL0.584375
Round19, ROCAUC0.507142857143, LOGLOSS0.683959478751, F1 MACRO0.491420727522, F1 POS0.387096774194, ACCURACY0.512820512821, PRECISION0.494652406417, RECALL0.494285714286
Round20, ROCAUC0.380471380471, LOGLOSS0.716647390057, F1 MACRO0.37037037037, F1 POS0.333333333333, ACCURACY0.372549019608, PRECISION0.395238095238, RECALL0.388888888889
Round21, ROCAUC0.491021324355, LOGLOSS0.703679057956, F1 MACRO0.484444444444, F1 POS0.613333333333, ACCURACY0.516666666667, PRECISION0.572916666667, RECALL0.547138047138
Round22, ROCAUC0.597394540943, LOGLOSS0.692322284506, F1 MACRO0.486842105263, F1 POS0.657894736842, ACCURACY0.543859649123, PRECISION0.678571428571, RECALL0.577543424318
Round23, ROCAUC0.496215306981, LOGLOSS0.700249053325, F1 MACRO0.445989304813, F1 POS0.564705882353, ACCURACY0.471428571429, PRECISION0.445804195804, RECALL0.447855340622
Round24, ROCAUC0.547091412742, LOGLOSS0.703479558229, F1 MACRO0.54474982382, F1 POS0.604651162791, ACCURACY0.552631578947, PRECISION0.556547619048, RECALL0.552631578947
Round25, ROCAUC0.567708333333, LOGLOSS0.689871547284, F1 MACRO0.556776556777, F1 POS0.637362637363, ACCURACY0.571428571429, PRECISION0.557152875175, RECALL0.556597222222
Round26, ROCAUC0.576023391813, LOGLOSS0.688390036692, F1 MACRO0.480413895048, F1 POS0.536585365854, ACCURACY0.486486486486, PRECISION0.483333333333, RECALL0.483918128655
Round27, ROCAUC0.520338983051, LOGLOSS0.606119779469, F1 MACRO0.406015037594, F1 POS0.0, ACCURACY0.683544303797, PRECISION0.364864864865, RECALL0.457627118644
Round28, ROCAUC0.602272727273, LOGLOSS0.763022441504, F1 MACRO0.339912280702, F1 POS0.416666666667, ACCURACY0.348837209302, PRECISION0.551801801802, RECALL0.532670454545
Round29, ROCAUC0.552717391304, LOGLOSS0.65871178347, F1 MACRO0.426138613861, F1 POS0.772277227723, ACCURACY0.634920634921, PRECISION0.569672131148, RECALL0.509239130435
Round30, ROCAUC0.539682539683, LOGLOSS0.652955150881, F1 MACRO0.543939393939, F1 POS0.3, ACCURACY0.674418604651, PRECISION0.548717948718, RECALL0.575396825397
Round31, ROCAUC0.608174770965, LOGLOSS0.686534962372, F1 MACRO0.526045487894, F1 POS0.413793103448, ACCURACY0.552631578947, PRECISION0.534117647059, RECALL0.530655391121
Round32, ROCAUC0.534013605442, LOGLOSS0.635090073837, F1 MACRO0.459310344828, F1 POS0.16, ACCURACY0.625, PRECISION0.457575757576, RECALL0.464285714286
