Round0, ROCAUC0.705329153605, LOGLOSS0.542420572974, F1 SCORE0.509803921569,
Round1, ROCAUC0.480158730159, LOGLOSS0.680878909195, F1 SCORE0.515125324114,
Round2, ROCAUC0.555803571429, LOGLOSS0.689819167961, F1 SCORE0.544827586207,
Round3, ROCAUC0.734567901235, LOGLOSS0.684752603956, F1 SCORE0.433333333333,
Round4, ROCAUC0.463265306122, LOGLOSS0.686815859104, F1 SCORE0.371794871795,
Round5, ROCAUC0.575396825397, LOGLOSS1.07713603077, F1 SCORE0.341398446171,
Round6, ROCAUC0.787234042553, LOGLOSS0.47099053074, F1 SCORE0.617330803289,
Round7, ROCAUC0.544715447154, LOGLOSS0.586249215806, F1 SCORE0.491891891892,
Round8, ROCAUC0.794285714286, LOGLOSS0.478844496608, F1 SCORE0.533947065593,
Round9, ROCAUC0.606896551724, LOGLOSS0.704341279136, F1 SCORE0.341463414634,
Round10, ROCAUC0.703703703704, LOGLOSS0.638318605148, F1 SCORE0.661523625844,
Round11, ROCAUC0.666666666667, LOGLOSS0.466872537365, F1 SCORE0.458333333333,
Round12, ROCAUC0.577922077922, LOGLOSS0.692404932976, F1 SCORE0.5,
Round13, ROCAUC0.572222222222, LOGLOSS0.651334243161, F1 SCORE0.5,
Round14, ROCAUC0.720218579235, LOGLOSS0.603831857835, F1 SCORE0.683333333333,
Round15, ROCAUC0.598051948052, LOGLOSS0.905988317297, F1 SCORE0.252252252252,
Round16, ROCAUC0.763157894737, LOGLOSS0.582548836299, F1 SCORE0.68347826087,
Round17, ROCAUC0.758513931889, LOGLOSS0.681283283908, F1 SCORE0.528025144054,
Round18, ROCAUC0.7109375, LOGLOSS0.608044770188, F1 SCORE0.545747126437,
Round19, ROCAUC0.794285714286, LOGLOSS0.680688309364, F1 SCORE0.463492063492,
Round20, ROCAUC0.680134680135, LOGLOSS0.674704354183, F1 SCORE0.590178571429,
