Round21, ROCAUC0.567901234568, LOGLOSS0.835124129554, F1 SCORE0.377777777778,
Round22, ROCAUC0.667493796526, LOGLOSS0.655072967211, F1 SCORE0.499324324324,
Round23, ROCAUC0.65180824222, LOGLOSS0.774209850175, F1 SCORE0.319727891156,
Round24, ROCAUC0.775623268698, LOGLOSS0.656084361829, F1 SCORE0.532403609516,
Round25, ROCAUC0.582638888889, LOGLOSS0.813662627494, F1 SCORE0.390271493213,
Round26, ROCAUC0.733918128655, LOGLOSS0.65687652778, F1 SCORE0.583645911478,
Round27, ROCAUC0.536440677966, LOGLOSS0.69793347241, F1 SCORE0.468755125472,
Round28, ROCAUC0.603693181818, LOGLOSS0.696033967096, F1 SCORE0.575657894737,
Round29, ROCAUC0.558695652174, LOGLOSS1.1693882125, F1 SCORE0.267441860465,
Round30, ROCAUC0.539682539683, LOGLOSS0.617686203746, F1 SCORE0.59220231823,
Round31, ROCAUC0.656095842142, LOGLOSS0.668510767974, F1 SCORE0.604166666667,
Round32, ROCAUC0.69387755102, LOGLOSS0.572212454996, F1 SCORE0.549226006192,
Round33, ROCAUC0.654320987654, LOGLOSS0.449171705204, F1 SCORE0.486486486486,
Round34, ROCAUC0.713942307692, LOGLOSS0.589943872123, F1 SCORE0.608974358974,
Round35, ROCAUC0.654304029304, LOGLOSS0.659637506286, F1 SCORE0.538505747126,
Round36, ROCAUC0.580740740741, LOGLOSS0.896643302905, F1 SCORE0.384615384615,
Round37, ROCAUC0.561333333333, LOGLOSS0.560480537781, F1 SCORE0.434782608696,
Round38, ROCAUC0.523053665911, LOGLOSS0.74931520802, F1 SCORE0.40625,
Round39, ROCAUC0.727678571429, LOGLOSS0.713626919566, F1 SCORE0.353146853147,
Round40, ROCAUC0.516581632653, LOGLOSS0.57161838504, F1 SCORE0.424778761062,
Round41, ROCAUC0.724137931034, LOGLOSS0.495481186534, F1 SCORE0.561329091552,
Round42, ROCAUC0.678362573099, LOGLOSS0.659325369505, F1 SCORE0.393333333333,
Round43, ROCAUC0.614583333333, LOGLOSS0.667527085001, F1 SCORE0.541666666667,
Round44, ROCAUC0.799603174603, LOGLOSS0.519185724258, F1 SCORE0.490196078431,
Round45, ROCAUC0.758928571429, LOGLOSS0.538477806581, F1 SCORE0.671447196871,
Round46, ROCAUC0.787962962963, LOGLOSS0.659890587026, F1 SCORE0.465909090909,
TOTAL All round, ROCAUC[0.70532915 0.48015873 0.55580357 0.7345679  0.46326531 0.57539683
 0.78723404 0.54471545 0.79428571 0.60689655 0.7037037  0.66666667
 0.57792208 0.57222222 0.72021858 0.59805195 0.76315789 0.75851393
 0.7109375  0.79428571 0.68013468 0.56790123 0.6674938  0.65180824
 0.77562327 0.58263889 0.73391813 0.53644068 0.60369318 0.55869565
 0.53968254 0.65609584 0.69387755 0.65432099 0.71394231 0.65430403
 0.58074074 0.56133333 0.52305367 0.72767857 0.51658163 0.72413793
 0.67836257 0.61458333 0.79960317 0.75892857 0.78796296], LOGLOSS[0.54242057 0.68087891 0.68981917 0.6847526  0.68681586 1.07713603
 0.47099053 0.58624922 0.4788445  0.70434128 0.63831861 0.46687254
 0.69240493 0.65133424 0.60383186 0.90598832 0.58254884 0.68128328
 0.60804477 0.68068831 0.67470435 0.83512413 0.65507297 0.77420985
 0.65608436 0.81366263 0.65687653 0.69793347 0.69603397 1.16938821
 0.6176862  0.66851077 0.57221245 0.44917171 0.58994387 0.65963751
 0.8966433  0.56048054 0.74931521 0.71362692 0.57161839 0.49548119
 0.65932537 0.66752709 0.51918572 0.53847781 0.65989059], F1 SCORE[0.50980392 0.51512532 0.54482759 0.43333333 0.37179487 0.34139845
 0.6173308  0.49189189 0.53394707 0.34146341 0.66152363 0.45833333
 0.5        0.5        0.68333333 0.25225225 0.68347826 0.52802514
 0.54574713 0.46349206 0.59017857 0.37777778 0.49932432 0.31972789
 0.53240361 0.39027149 0.58364591 0.46875513 0.57565789 0.26744186
 0.59220232 0.60416667 0.54922601 0.48648649 0.60897436 0.53850575
 0.38461538 0.43478261 0.40625    0.35314685 0.42477876 0.56132909
 0.39333333 0.54166667 0.49019608 0.6714472  0.46590909],
Mean Auc 0.652273850682,  Mean logloss 0.666625307502, Mean F1 0.491261763973,
Round0, ROCAUC0.692789968652, LOGLOSS0.519336967915, F1 SCORE0.630769230769,
Round1, ROCAUC0.630952380952, LOGLOSS0.632218131686, F1 SCORE0.542276806802,
Round2, ROCAUC0.555803571429, LOGLOSS0.663906948133, F1 SCORE0.544827586207,
Round3, ROCAUC0.712191358025, LOGLOSS0.685830108091, F1 SCORE0.522588522589,
Round4, ROCAUC0.54387755102, LOGLOSS0.611230706986, F1 SCORE0.523611111111,
Round5, ROCAUC0.46626984127, LOGLOSS1.30310721099, F1 SCORE0.259364731654,
Round6, ROCAUC0.712765957447, LOGLOSS0.476759767668, F1 SCORE0.586466165414,
Round7, ROCAUC0.609756097561, LOGLOSS0.548851284595, F1 SCORE0.548076923077,
Round8, ROCAUC0.7, LOGLOSS0.513622313583, F1 SCORE0.407894736842,
Round9, ROCAUC0.558620689655, LOGLOSS1.18604843938, F1 SCORE0.410909090909,
Round10, ROCAUC0.57962962963, LOGLOSS0.622081184999, F1 SCORE0.494444444444,
Round11, ROCAUC0.921568627451, LOGLOSS0.41742754921, F1 SCORE0.542521994135,
Round12, ROCAUC0.63961038961, LOGLOSS0.987122866213, F1 SCORE0.389416553596,
Round13, ROCAUC0.525, LOGLOSS0.556154099046, F1 SCORE0.5,
Round14, ROCAUC0.697267759563, LOGLOSS0.547613292638, F1 SCORE0.64375,
Round15, ROCAUC0.585714285714, LOGLOSS2.50337534401, F1 SCORE0.32947885316,
Round16, ROCAUC0.695681511471, LOGLOSS0.599311402014, F1 SCORE0.577538703752,
Round17, ROCAUC0.746904024768, LOGLOSS0.601890459938, F1 SCORE0.71398920714,
Round18, ROCAUC0.6453125, LOGLOSS0.970076334042, F1 SCORE0.634375,
Round19, ROCAUC0.767142857143, LOGLOSS0.589552491139, F1 SCORE0.80174291939,
Round20, ROCAUC0.63468013468, LOGLOSS0.65069029378, F1 SCORE0.59045819556,
Round21, ROCAUC0.497194163861, LOGLOSS1.35964825438, F1 SCORE0.394334093129,
Round22, ROCAUC0.647022332506, LOGLOSS0.672887054452, F1 SCORE0.499324324324,
Round23, ROCAUC0.552565180824, LOGLOSS1.28761233542, F1 SCORE0.367702137035,
Round24, ROCAUC0.686980609418, LOGLOSS0.926944943476, F1 SCORE0.559420289855,
Round25, ROCAUC0.614583333333, LOGLOSS0.80858706112, F1 SCORE0.429010671007,
Round26, ROCAUC0.652046783626, LOGLOSS0.672578188213, F1 SCORE0.567251461988,
Round27, ROCAUC0.540254237288, LOGLOSS0.756397025117, F1 SCORE0.53153638814,
Round28, ROCAUC0.603693181818, LOGLOSS0.761055336442, F1 SCORE0.575657894737,
Round29, ROCAUC0.560869565217, LOGLOSS1.35172714187, F1 SCORE0.311571868871,
Round30, ROCAUC0.60119047619, LOGLOSS0.715373572569, F1 SCORE0.520655737705,
Round31, ROCAUC0.601127554616, LOGLOSS0.717932754833, F1 SCORE0.574229691877,
Round32, ROCAUC0.686224489796, LOGLOSS0.548888658839, F1 SCORE0.536643026005,
Round33, ROCAUC0.435185185185, LOGLOSS0.502879082111, F1 SCORE0.481818181818,
Round34, ROCAUC0.701923076923, LOGLOSS0.53272373559, F1 SCORE0.49099692578,
Round35, ROCAUC0.622710622711, LOGLOSS0.867319176051, F1 SCORE0.527677929547,
Round36, ROCAUC0.601481481481, LOGLOSS1.48635112323, F1 SCORE0.364661654135,
Round37, ROCAUC0.582666666667, LOGLOSS0.663088994989, F1 SCORE0.589473684211,
Round38, ROCAUC0.572940287226, LOGLOSS0.746828338376, F1 SCORE0.517743830787,
Round39, ROCAUC0.660714285714, LOGLOSS1.0777640535, F1 SCORE0.446020488574,
Round40, ROCAUC0.629464285714, LOGLOSS0.615817043558, F1 SCORE0.419642857143,
Round41, ROCAUC0.666091954023, LOGLOSS0.581056574436, F1 SCORE0.558111380145,
Round42, ROCAUC0.602339181287, LOGLOSS0.840092022173, F1 SCORE0.569958343543,
Round43, ROCAUC0.41875, LOGLOSS0.872325894169, F1 SCORE0.357101110462,
Round44, ROCAUC0.701388888889, LOGLOSS0.541314557195, F1 SCORE0.616228070175,
Round45, ROCAUC0.540178571429, LOGLOSS0.649916196863, F1 SCORE0.379310344828,
Round46, ROCAUC0.735185185185, LOGLOSS0.615363983398, F1 SCORE0.668346774194,
TOTAL All round, ROCAUC[0.69278997 0.63095238 0.55580357 0.71219136 0.54387755 0.46626984
 0.71276596 0.6097561  0.7        0.55862069 0.57962963 0.92156863
 0.63961039 0.525      0.69726776 0.58571429 0.69568151 0.74690402
 0.6453125  0.76714286 0.63468013 0.49719416 0.64702233 0.55256518
 0.68698061 0.61458333 0.65204678 0.54025424 0.60369318 0.56086957
 0.60119048 0.60112755 0.68622449 0.43518519 0.70192308 0.62271062
 0.60148148 0.58266667 0.57294029 0.66071429 0.62946429 0.66609195
 0.60233918 0.41875    0.70138889 0.54017857 0.73518519], LOGLOSS[0.51933697 0.63221813 0.66390695 0.68583011 0.61123071 1.30310721
 0.47675977 0.54885128 0.51362231 1.18604844 0.62208118 0.41742755
 0.98712287 0.5561541  0.54761329 2.50337534 0.5993114  0.60189046
 0.97007633 0.58955249 0.65069029 1.35964825 0.67288705 1.28761234
 0.92694494 0.80858706 0.67257819 0.75639703 0.76105534 1.35172714
 0.71537357 0.71793275 0.54888866 0.50287908 0.53272374 0.86731918
 1.48635112 0.66308899 0.74682834 1.07776405 0.61581704 0.58105657
 0.84009202 0.87232589 0.54131456 0.6499162  0.61536398], F1 SCORE[0.63076923 0.54227681 0.54482759 0.52258852 0.52361111 0.25936473
 0.58646617 0.54807692 0.40789474 0.41090909 0.49444444 0.54252199
 0.38941655 0.5        0.64375    0.32947885 0.5775387  0.71398921
 0.634375   0.80174292 0.5904582  0.39433409 0.49932432 0.36770214
 0.55942029 0.42901067 0.56725146 0.53153639 0.57565789 0.31157187
 0.52065574 0.57422969 0.53664303 0.48181818 0.49099693 0.52767793
 0.36466165 0.58947368 0.51774383 0.44602049 0.41964286 0.55811138
 0.56995834 0.35710111 0.61622807 0.37931034 0.66834677],
Mean Auc 0.624176823765,  Mean logloss 0.794865538264, Mean F1 0.511679360352,
Round0, ROCAUC0.761755485893, LOGLOSS0.520485927537, F1 SCORE0.494833524684,
Round1, ROCAUC0.478835978836, LOGLOSS0.674422435901, F1 SCORE0.432186234818,
Round2, ROCAUC0.555803571429, LOGLOSS0.682846715504, F1 SCORE0.544827586207,
Round3, ROCAUC0.729938271605, LOGLOSS0.683937291889, F1 SCORE0.467060427079,
Round4, ROCAUC0.50306122449, LOGLOSS0.640664891321, F1 SCORE0.371794871795,
Round5, ROCAUC0.556051587302, LOGLOSS0.859192731372, F1 SCORE0.341398446171,
Round6, ROCAUC0.86170212766, LOGLOSS0.473620313948, F1 SCORE0.590773809524,
Round7, ROCAUC0.487804878049, LOGLOSS0.632930013094, F1 SCORE0.450292397661,
Round8, ROCAUC0.837142857143, LOGLOSS0.41420086198, F1 SCORE0.615384615385,
Round9, ROCAUC0.655172413793, LOGLOSS0.702315597071, F1 SCORE0.41073766914,
Round10, ROCAUC0.612962962963, LOGLOSS0.646098885781, F1 SCORE0.494444444444,
Round11, ROCAUC0.705882352941, LOGLOSS0.592935562134, F1 SCORE0.409090909091,
Round12, ROCAUC0.662337662338, LOGLOSS1.14950201731, F1 SCORE0.305555555556,
Round13, ROCAUC0.716666666667, LOGLOSS0.522739248616, F1 SCORE0.571785268414,
Round14, ROCAUC0.736612021858, LOGLOSS0.462854926131, F1 SCORE0.627972027972,
Round15, ROCAUC0.596103896104, LOGLOSS1.07679536624, F1 SCORE0.291968453243,
Round16, ROCAUC0.731443994602, LOGLOSS0.575927807604, F1 SCORE0.661835748792,
Round17, ROCAUC0.746904024768, LOGLOSS0.670527791077, F1 SCORE0.71398920714,
Round18, ROCAUC0.7296875, LOGLOSS0.693781387383, F1 SCORE0.531531531532,
Round19, ROCAUC0.794285714286, LOGLOSS0.654808313419, F1 SCORE0.463492063492,
Round20, ROCAUC0.670875420875, LOGLOSS0.668992644432, F1 SCORE0.630277185501,
Round21, ROCAUC0.610549943883, LOGLOSS0.962769036368, F1 SCORE0.412830735774,
Round22, ROCAUC0.725806451613, LOGLOSS0.641104864447, F1 SCORE0.590769230769,
Round23, ROCAUC0.609335576114, LOGLOSS0.719458992992, F1 SCORE0.319727891156,
Round24, ROCAUC0.731301939058, LOGLOSS0.657714324562, F1 SCORE0.676136363636,
Round25, ROCAUC0.668055555556, LOGLOSS0.809319883682, F1 SCORE0.439006164767,
Round26, ROCAUC0.74269005848, LOGLOSS0.666461942969, F1 SCORE0.551515151515,
Round27, ROCAUC0.571186440678, LOGLOSS0.651774016362, F1 SCORE0.549459193707,
Round28, ROCAUC0.603693181818, LOGLOSS0.703371953133, F1 SCORE0.575657894737,
Round29, ROCAUC0.547826086957, LOGLOSS1.38115127541, F1 SCORE0.294978479197,
Round30, ROCAUC0.569444444444, LOGLOSS0.666322521692, F1 SCORE0.537634408602,
Round31, ROCAUC0.61874559549, LOGLOSS0.830299931162, F1 SCORE0.586956521739,
Round32, ROCAUC0.695578231293, LOGLOSS0.524342981699, F1 SCORE0.422680412371,
Round33, ROCAUC0.734567901235, LOGLOSS0.400714966812, F1 SCORE0.486486486486,
Round34, ROCAUC0.713942307692, LOGLOSS0.594214976811, F1 SCORE0.626119754833,
Round35, ROCAUC0.708791208791, LOGLOSS0.588773627702, F1 SCORE0.632326007326,
Round36, ROCAUC0.616296296296, LOGLOSS0.816506968095, F1 SCORE0.374699374699,
Round37, ROCAUC0.558666666667, LOGLOSS0.544256102466, F1 SCORE0.429824561404,
Round38, ROCAUC0.502645502646, LOGLOSS0.667167060861, F1 SCORE0.525,
Round39, ROCAUC0.662202380952, LOGLOSS0.743879625121, F1 SCORE0.353146853147,
Round40, ROCAUC0.540816326531, LOGLOSS0.574971951544, F1 SCORE0.429824561404,
Round41, ROCAUC0.737931034483, LOGLOSS0.470163593018, F1 SCORE0.625641025641,
Round42, ROCAUC0.615984405458, LOGLOSS0.677430307865, F1 SCORE0.530874097835,
Round43, ROCAUC0.639583333333, LOGLOSS0.683963789859, F1 SCORE0.541666666667,
Round44, ROCAUC0.730158730159, LOGLOSS0.543040024042, F1 SCORE0.490196078431,
Round45, ROCAUC0.799107142857, LOGLOSS0.448464015395, F1 SCORE0.651612903226,
Round46, ROCAUC0.8, LOGLOSS0.650444950195, F1 SCORE0.417482061318,
TOTAL All round, ROCAUC[0.76175549 0.47883598 0.55580357 0.72993827 0.50306122 0.55605159
 0.86170213 0.48780488 0.83714286 0.65517241 0.61296296 0.70588235
 0.66233766 0.71666667 0.73661202 0.5961039  0.73144399 0.74690402
 0.7296875  0.79428571 0.67087542 0.61054994 0.72580645 0.60933558
 0.73130194 0.66805556 0.74269006 0.57118644 0.60369318 0.54782609
 0.56944444 0.6187456  0.69557823 0.7345679  0.71394231 0.70879121
 0.6162963  0.55866667 0.5026455  0.66220238 0.54081633 0.73793103
 0.61598441 0.63958333 0.73015873 0.79910714 0.8       ], LOGLOSS[0.52048593 0.67442244 0.68284672 0.68393729 0.64066489 0.85919273
 0.47362031 0.63293001 0.41420086 0.7023156  0.64609889 0.59293556
 1.14950202 0.52273925 0.46285493 1.07679537 0.57592781 0.67052779
 0.69378139 0.65480831 0.66899264 0.96276904 0.64110486 0.71945899
 0.65771432 0.80931988 0.66646194 0.65177402 0.70337195 1.38115128
 0.66632252 0.83029993 0.52434298 0.40071497 0.59421498 0.58877363
 0.81650697 0.5442561  0.66716706 0.74387963 0.57497195 0.47016359
 0.67743031 0.68396379 0.54304002 0.44846402 0.65044495], F1 SCORE[0.49483352 0.43218623 0.54482759 0.46706043 0.37179487 0.34139845
 0.59077381 0.4502924  0.61538462 0.41073767 0.49444444 0.40909091
 0.30555556 0.57178527 0.62797203 0.29196845 0.66183575 0.71398921
 0.53153153 0.46349206 0.63027719 0.41283074 0.59076923 0.31972789
 0.67613636 0.43900616 0.55151515 0.54945919 0.57565789 0.29497848
 0.53763441 0.58695652 0.42268041 0.48648649 0.62611975 0.63232601
 0.37469937 0.42982456 0.525      0.35314685 0.42982456 0.62564103
 0.5308741  0.54166667 0.49019608 0.6516129  0.41748206],
Mean Auc 0.663530582044,  Mean logloss 0.672716264128, Mean F1 0.499861379958,
Round0, ROCAUC0.730407523511, LOGLOSS0.559389487281, F1 SCORE0.738562091503,
Round1, ROCAUC0.529100529101, LOGLOSS0.658370638759, F1 SCORE0.509615384615,
Round2, ROCAUC0.555803571429, LOGLOSS0.674804194407, F1 SCORE0.544827586207,
Round3, ROCAUC0.699074074074, LOGLOSS1.02686907002, F1 SCORE0.512266112266,
Round4, ROCAUC0.463265306122, LOGLOSS0.657999618929, F1 SCORE0.371794871795,
Round5, ROCAUC0.553075396825, LOGLOSS0.836330111044, F1 SCORE0.321109123435,
Round6, ROCAUC0.753989361702, LOGLOSS0.523162164471, F1 SCORE0.590773809524,
Round7, ROCAUC0.674796747967, LOGLOSS0.628120441386, F1 SCORE0.617886178862,
Round8, ROCAUC0.791428571429, LOGLOSS0.466719189348, F1 SCORE0.423076923077,
Round9, ROCAUC0.588275862069, LOGLOSS0.696225050975, F1 SCORE0.527821939587,
Round10, ROCAUC0.707407407407, LOGLOSS0.531857289231, F1 SCORE0.586306653809,
Round11, ROCAUC0.78431372549, LOGLOSS0.463586925775, F1 SCORE0.440860215054,
Round12, ROCAUC0.662337662338, LOGLOSS0.932994380668, F1 SCORE0.295774647887,
Round13, ROCAUC0.661111111111, LOGLOSS0.474890363764, F1 SCORE0.539184952978,
Round14, ROCAUC0.739890710383, LOGLOSS0.503243698526, F1 SCORE0.521678321678,
Round15, ROCAUC0.61525974026, LOGLOSS1.07324118221, F1 SCORE0.31098339719,
Round16, ROCAUC0.708502024291, LOGLOSS0.581634647931, F1 SCORE0.716599190283,
Round17, ROCAUC0.763157894737, LOGLOSS0.608966362364, F1 SCORE0.674561403509,
Round18, ROCAUC0.7390625, LOGLOSS0.716307562104, F1 SCORE0.548611111111,
Round19, ROCAUC0.767142857143, LOGLOSS0.645845761666, F1 SCORE0.80174291939,
Round20, ROCAUC0.6632996633, LOGLOSS0.63314147352, F1 SCORE0.587044534413,
Round21, ROCAUC0.519640852974, LOGLOSS0.787385064612, F1 SCORE0.393939393939,
Round22, ROCAUC0.683622828784, LOGLOSS0.663314324983, F1 SCORE0.614864864865,
Round23, ROCAUC0.61606391926, LOGLOSS0.717737710902, F1 SCORE0.387755102041,
Round24, ROCAUC0.706371191136, LOGLOSS0.646807414136, F1 SCORE0.657657657658,
Round25, ROCAUC0.620138888889, LOGLOSS1.04095741404, F1 SCORE0.419181034483,
Round26, ROCAUC0.672514619883, LOGLOSS0.659042106287, F1 SCORE0.648648648649,
Round27, ROCAUC0.650847457627, LOGLOSS0.579000279873, F1 SCORE0.56865520728,
Round28, ROCAUC0.619318181818, LOGLOSS0.651761358907, F1 SCORE0.479838709677,
Round29, ROCAUC0.579347826087, LOGLOSS1.0469607032, F1 SCORE0.267441860465,
Round30, ROCAUC0.603174603175, LOGLOSS0.635139301766, F1 SCORE0.590476190476,
Round31, ROCAUC0.61451726568, LOGLOSS0.740570046792, F1 SCORE0.536917562724,
Round32, ROCAUC0.66156462585, LOGLOSS0.546503456775, F1 SCORE0.588002263724,
Round33, ROCAUC0.598765432099, LOGLOSS0.452135630606, F1 SCORE0.467289719626,
Round34, ROCAUC0.65625, LOGLOSS0.580133302717, F1 SCORE0.646376811594,
Round35, ROCAUC0.812728937729, LOGLOSS0.680973153408, F1 SCORE0.520187793427,
Round36, ROCAUC0.54962962963, LOGLOSS1.43478776542, F1 SCORE0.374699374699,
Round37, ROCAUC0.606666666667, LOGLOSS0.571665273865, F1 SCORE0.484126984127,
Round38, ROCAUC0.51171579743, LOGLOSS0.746082189983, F1 SCORE0.558928571429,
Round39, ROCAUC0.714285714286, LOGLOSS0.746134227998, F1 SCORE0.353146853147,
Round40, ROCAUC0.55612244898, LOGLOSS0.609914871477, F1 SCORE0.424778761062,
Round41, ROCAUC0.702298850575, LOGLOSS0.514507436283, F1 SCORE0.625641025641,
Round42, ROCAUC0.569200779727, LOGLOSS0.689177318261, F1 SCORE0.537476280835,
Round43, ROCAUC0.589583333333, LOGLOSS1.03333736958, F1 SCORE0.469206349206,
Round44, ROCAUC0.614087301587, LOGLOSS0.571422878802, F1 SCORE0.418604651163,
Round45, ROCAUC0.785714285714, LOGLOSS0.468364380404, F1 SCORE0.6,
Round46, ROCAUC0.731481481481, LOGLOSS0.664484745645, F1 SCORE0.723529411765,
TOTAL All round, ROCAUC[0.73040752 0.52910053 0.55580357 0.69907407 0.46326531 0.5530754
 0.75398936 0.67479675 0.79142857 0.58827586 0.70740741 0.78431373
 0.66233766 0.66111111 0.73989071 0.61525974 0.70850202 0.76315789
 0.7390625  0.76714286 0.66329966 0.51964085 0.68362283 0.61606392
 0.70637119 0.62013889 0.67251462 0.65084746 0.61931818 0.57934783
 0.6031746  0.61451727 0.66156463 0.59876543 0.65625    0.81272894
 0.54962963 0.60666667 0.5117158  0.71428571 0.55612245 0.70229885
 0.56920078 0.58958333 0.6140873  0.78571429 0.73148148], LOGLOSS[0.55938949 0.65837064 0.67480419 1.02686907 0.65799962 0.83633011
 0.52316216 0.62812044 0.46671919 0.69622505 0.53185729 0.46358693
 0.93299438 0.47489036 0.5032437  1.07324118 0.58163465 0.60896636
 0.71630756 0.64584576 0.63314147 0.78738506 0.66331432 0.71773771
 0.64680741 1.04095741 0.65904211 0.57900028 0.65176136 1.0469607
 0.6351393  0.74057005 0.54650346 0.45213563 0.5801333  0.68097315
 1.43478777 0.57166527 0.74608219 0.74613423 0.60991487 0.51450744
 0.68917732 1.03333737 0.57142288 0.46836438 0.66448475], F1 SCORE[0.73856209 0.50961538 0.54482759 0.51226611 0.37179487 0.32110912
 0.59077381 0.61788618 0.42307692 0.52782194 0.58630665 0.44086022
 0.29577465 0.53918495 0.52167832 0.3109834  0.71659919 0.6745614
 0.54861111 0.80174292 0.58704453 0.39393939 0.61486486 0.3877551
 0.65765766 0.41918103 0.64864865 0.56865521 0.47983871 0.26744186
 0.59047619 0.53691756 0.58800226 0.46728972 0.64637681 0.52018779
 0.37469937 0.48412698 0.55892857 0.35314685 0.42477876 0.62564103
 0.53747628 0.46920635 0.41860465 0.6        0.72352941],
Mean Auc 0.653113939598,  Mean logloss 0.688765943428, Mean F1 0.522094733019,
Round0, ROCAUC0.760188087774, LOGLOSS0.524444325268, F1 MACRO0.589169000934, F1 POS0.352941176471, ACCURACY0.725, PRECISION0.5, RECALL0.272727272727
Round1, ROCAUC0.600529100529, LOGLOSS0.643774588026, F1 MACRO0.483805668016, F1 POS0.230769230769, ACCURACY0.607843137255, PRECISION0.176470588235, RECALL0.333333333333
Round2, ROCAUC0.588169642857, LOGLOSS0.667125861414, F1 MACRO0.562828755114, F1 POS0.413793103448, ACCURACY0.613636363636, PRECISION0.461538461538, RECALL0.375
Round3, ROCAUC0.841049382716, LOGLOSS0.780429441792, F1 MACRO0.514705882353, F1 POS0.352941176471, ACCURACY0.56862745098, PRECISION0.857142857143, RECALL0.222222222222
Round4, ROCAUC0.54693877551, LOGLOSS0.626192437751, F1 MACRO0.565967365967, F1 POS0.424242424242, ACCURACY0.612244897959, PRECISION0.368421052632, RECALL0.5
Round5, ROCAUC0.541666666667, LOGLOSS1.00177528785, F1 MACRO0.31076581576, F1 POS0.150943396226, ACCURACY0.347826086957, PRECISION0.8, RECALL0.0833333333333
Round6, ROCAUC0.811170212766, LOGLOSS0.449384344437, F1 MACRO0.707446808511, F1 POS0.5, ACCURACY0.854545454545, PRECISION0.5, RECALL0.5
Round7, ROCAUC0.65243902439, LOGLOSS0.606605740938, F1 MACRO0.580357142857, F1 POS0.285714285714, ACCURACY0.787234042553, PRECISION0.25, RECALL0.333333333333
Round8, ROCAUC0.768571428571, LOGLOSS0.471722465847, F1 MACRO0.519230769231, F1 POS0.166666666667, ACCURACY0.777777777778, PRECISION0.5, RECALL0.1
Round9, ROCAUC0.656551724138, LOGLOSS0.699563977757, F1 MACRO0.583333333333, F1 POS0.444444444444, ACCURACY0.62962962963, PRECISION0.727272727273, RECALL0.32
Round10, ROCAUC0.681481481481, LOGLOSS0.643166623054, F1 MACRO0.588318085855, F1 POS0.48275862069, ACCURACY0.615384615385, PRECISION0.35, RECALL0.777777777778
Round11, ROCAUC0.941176470588, LOGLOSS0.426629922353, F1 MACRO0.516483516484, F1 POS0.153846153846, ACCURACY0.788461538462, PRECISION0.0833333333333, RECALL1.0
Round12, ROCAUC0.660714285714, LOGLOSS1.89400075476, F1 MACRO0.305555555556, F1 POS0.0, ACCURACY0.44, PRECISION0.0, RECALL0.0
Round13, ROCAUC0.7, LOGLOSS0.488195638571, F1 MACRO0.539184952978, F1 POS0.181818181818, ACCURACY0.816326530612, PRECISION0.142857142857, RECALL0.25
Round14, ROCAUC0.679781420765, LOGLOSS0.541504931342, F1 MACRO0.647374847375, F1 POS0.457142857143, ACCURACY0.75, PRECISION0.4, RECALL0.533333333333
Round15, ROCAUC0.561688311688, LOGLOSS1.71545105716, F1 MACRO0.31098339719, F1 POS0.103448275862, ACCURACY0.373493975904, PRECISION1.0, RECALL0.0545454545455
Round16, ROCAUC0.706477732794, LOGLOSS0.593426279511, F1 MACRO0.647824800237, F1 POS0.451612903226, ACCURACY0.757142857143, PRECISION0.388888888889, RECALL0.538461538462
Round17, ROCAUC0.746904024768, LOGLOSS0.631914672424, F1 MACRO0.71398920714, F1 POS0.606060606061, ACCURACY0.754716981132, PRECISION0.714285714286, RECALL0.526315789474
