Round0, ROCAUC0.664576802508, LOGLOSS0.57738962099, F1 SCORE0.466666666667,
Round1, ROCAUC0.502645502646, LOGLOSS0.717004839696, F1 SCORE0.550264550265,
Round2, ROCAUC0.629464285714, LOGLOSS0.680230439556, F1 SCORE0.528571428571,
Round3, ROCAUC0.699074074074, LOGLOSS1.19509224969, F1 SCORE0.408035714286,
Round4, ROCAUC0.583673469388, LOGLOSS0.602253085496, F1 SCORE0.409638554217,
Round5, ROCAUC0.445436507937, LOGLOSS0.768907649362, F1 SCORE0.384974533107,
Round6, ROCAUC0.691489361702, LOGLOSS0.529010314562, F1 SCORE0.602272727273,
Round7, ROCAUC0.532520325203, LOGLOSS0.831605096764, F1 SCORE0.369597615499,
Round8, ROCAUC0.817142857143, LOGLOSS0.475301997974, F1 SCORE0.595404595405,
Round9, ROCAUC0.64, LOGLOSS0.713190913062, F1 SCORE0.642134635507,
Round10, ROCAUC0.701851851852, LOGLOSS0.583776077017, F1 SCORE0.617305976806,
Round11, ROCAUC0.460784313725, LOGLOSS0.664964565864, F1 SCORE0.341772151899,
Round12, ROCAUC0.629058441558, LOGLOSS0.731290710568, F1 SCORE0.416666666667,
Round13, ROCAUC0.533333333333, LOGLOSS0.551398133137, F1 SCORE0.443181818182,
Round14, ROCAUC0.71693989071, LOGLOSS0.514276413615, F1 SCORE0.672413793103,
Round15, ROCAUC0.627922077922, LOGLOSS1.42628514859, F1 SCORE0.32947885316,
Round16, ROCAUC0.706477732794, LOGLOSS0.593426279511, F1 SCORE0.647824800237,
Round17, ROCAUC0.726780185759, LOGLOSS0.594304816903, F1 SCORE0.62598588626,
Round18, ROCAUC0.746875, LOGLOSS0.740850744328, F1 SCORE0.702630575677,
Round19, ROCAUC0.748571428571, LOGLOSS0.581194258271, F1 SCORE0.599209486166,
Round20, ROCAUC0.713804713805, LOGLOSS0.608659065822, F1 SCORE0.691176470588,
Round21, ROCAUC0.653198653199, LOGLOSS0.655417462687, F1 SCORE0.583217560433,
Round22, ROCAUC0.617866004963, LOGLOSS0.764606737319, F1 SCORE0.518831168831,
Round23, ROCAUC0.582842724979, LOGLOSS1.21822740297, F1 SCORE0.397071490095,
Round24, ROCAUC0.778393351801, LOGLOSS0.632944982303, F1 SCORE0.590769230769,
Round25, ROCAUC0.620138888889, LOGLOSS0.811282890377, F1 SCORE0.456863809007,
Round26, ROCAUC0.71783625731, LOGLOSS0.633549578287, F1 SCORE0.647619047619,
Round27, ROCAUC0.565254237288, LOGLOSS0.72806153349, F1 SCORE0.49635701275,
Round28, ROCAUC0.633522727273, LOGLOSS0.65873240268, F1 SCORE0.527472527473,
Round29, ROCAUC0.561956521739, LOGLOSS1.60962199364, F1 SCORE0.311571868871,
Round30, ROCAUC0.47619047619, LOGLOSS0.729479416339, F1 SCORE0.437908496732,
Round31, ROCAUC0.605355884426, LOGLOSS0.806104960288, F1 SCORE0.579810950597,
Round32, ROCAUC0.736394557823, LOGLOSS0.527380431337, F1 SCORE0.416666666667,
Round33, ROCAUC0.648148148148, LOGLOSS0.299305650487, F1 SCORE0.481818181818,
Round34, ROCAUC0.694711538462, LOGLOSS0.546654871619, F1 SCORE0.570263255469,
