Round0, ROCAUC0.479623824451, LOGLOSS0.644283854216, F1 MACRO0.551337359793, F1 POS0.315789473684, ACCURACY0.675, PRECISION0.5625, RECALL0.550156739812
Round1, ROCAUC0.465608465608, LOGLOSS0.636791152697, F1 MACRO0.490299823633, F1 POS0.190476190476, ACCURACY0.666666666667, PRECISION0.49358974359, RECALL0.492063492063
Round2, ROCAUC0.462053571429, LOGLOSS0.684274677526, F1 MACRO0.417647058824, F1 POS0.1, ACCURACY0.590909090909, PRECISION0.4375, RECALL0.477678571429
Round3, ROCAUC0.403549382716, LOGLOSS0.70260043004, F1 MACRO0.427852998066, F1 POS0.382978723404, ACCURACY0.43137254902, PRECISION0.434677419355, RECALL0.4375
Round4, ROCAUC0.60306122449, LOGLOSS0.670332304677, F1 MACRO0.567647058824, F1 POS0.4, ACCURACY0.632653061224, PRECISION0.566287878788, RECALL0.571428571429
Round5, ROCAUC0.514384920635, LOGLOSS0.696289692236, F1 MACRO0.499516441006, F1 POS0.68085106383, ACCURACY0.565217391304, PRECISION0.5, RECALL0.5
Round6, ROCAUC0.654255319149, LOGLOSS0.646061899987, F1 MACRO0.587706146927, F1 POS0.347826086957, ACCURACY0.727272727273, PRECISION0.583333333333, RECALL0.632978723404
Round7, ROCAUC0.729674796748, LOGLOSS0.660391150637, F1 MACRO0.587719298246, F1 POS0.333333333333, ACCURACY0.744680851064, PRECISION0.582142857143, RECALL0.640243902439
Round8, ROCAUC0.685714285714, LOGLOSS0.614659736554, F1 MACRO0.639037433155, F1 POS0.454545454545, ACCURACY0.733333333333, PRECISION0.632575757576, RECALL0.65
Round9, ROCAUC0.488275862069, LOGLOSS0.71007118788, F1 MACRO0.4698457223, F1 POS0.548387096774, ACCURACY0.481481481481, PRECISION0.494435612083, RECALL0.495172413793
Round10, ROCAUC0.618518518519, LOGLOSS0.68338740789, F1 MACRO0.556818181818, F1 POS0.363636363636, ACCURACY0.641025641026, PRECISION0.557692307692, RECALL0.572222222222
Round11, ROCAUC0.352941176471, LOGLOSS0.567943781041, F1 MACRO0.458333333333, F1 POS0.0, ACCURACY0.846153846154, PRECISION0.488888888889, RECALL0.43137254902
Round12, ROCAUC0.603084415584, LOGLOSS0.701857079268, F1 MACRO0.356617647059, F1 POS0.125, ACCURACY0.44, PRECISION0.467391304348, RECALL0.49025974026
Round13, ROCAUC0.427777777778, LOGLOSS0.646606420984, F1 MACRO0.424242424242, F1 POS0.0952380952381, ACCURACY0.612244897959, PRECISION0.482536764706, RECALL0.447222222222
Round14, ROCAUC0.677595628415, LOGLOSS0.538576968014, F1 MACRO0.548872180451, F1 POS0.210526315789, ACCURACY0.802631578947, PRECISION0.659722222222, RECALL0.550273224044
Round15, ROCAUC0.491558441558, LOGLOSS0.68703915484, F1 MACRO0.48724853477, F1 POS0.635514018692, ACCURACY0.530120481928, PRECISION0.488213399504, RECALL0.487662337662
Round16, ROCAUC0.639001349528, LOGLOSS0.626611608267, F1 MACRO0.435483870968, F1 POS0.0, ACCURACY0.771428571429, PRECISION0.402985074627, RECALL0.473684210526
Round17, ROCAUC0.560371517028, LOGLOSS0.724486427487, F1 MACRO0.46231884058, F1 POS0.533333333333, ACCURACY0.471698113208, PRECISION0.57012195122, RECALL0.553405572755
Round18, ROCAUC0.6671875, LOGLOSS0.699999843079, F1 MACRO0.400921658986, F1 POS0.516129032258, ACCURACY0.423076923077, PRECISION0.490476190476, RECALL0.49375
Round19, ROCAUC0.597142857143, LOGLOSS0.700647341899, F1 MACRO0.51153592617, F1 POS0.536585365854, ACCURACY0.512820512821, PRECISION0.578703703704, RECALL0.572857142857
Round20, ROCAUC0.358585858586, LOGLOSS0.716226133646, F1 MACRO0.388394584139, F1 POS0.340425531915, ACCURACY0.392156862745, PRECISION0.41065830721, RECALL0.40404040404
Round21, ROCAUC0.416947250281, LOGLOSS0.705324444175, F1 MACRO0.38995215311, F1 POS0.552631578947, ACCURACY0.433333333333, PRECISION0.441558441558, RECALL0.464646464646
Round22, ROCAUC0.58064516129, LOGLOSS0.717564479301, F1 MACRO0.407894736842, F1 POS0.605263157895, ACCURACY0.473684210526, PRECISION0.515714285714, RECALL0.50682382134
Round23, ROCAUC0.551724137931, LOGLOSS0.691845858949, F1 MACRO0.484029484029, F1 POS0.513513513514, ACCURACY0.485714285714, PRECISION0.490581490581, RECALL0.490328006728
Round24, ROCAUC0.554016620499, LOGLOSS0.69845944643, F1 MACRO0.491190979563, F1 POS0.558139534884, ACCURACY0.5, PRECISION0.5, RECALL0.5
Round25, ROCAUC0.451388888889, LOGLOSS0.699706020293, F1 MACRO0.484716947007, F1 POS0.618556701031, ACCURACY0.519480519481, PRECISION0.488461538462, RECALL0.489583333333
Round26, ROCAUC0.422514619883, LOGLOSS0.692885215218, F1 MACRO0.506666666667, F1 POS0.68, ACCURACY0.567567567568, PRECISION0.60752688172, RECALL0.558479532164
Round27, ROCAUC0.559322033898, LOGLOSS0.598494819071, F1 MACRO0.50625, F1 POS0.2, ACCURACY0.696202531646, PRECISION0.526811594203, RECALL0.515677966102
Round28, ROCAUC0.613636363636, LOGLOSS0.694733647413, F1 MACRO0.488095238095, F1 POS0.47619047619, ACCURACY0.488372093023, PRECISION0.619623655914, RECALL0.626420454545
Round29, ROCAUC0.539130434783, LOGLOSS0.677746199426, F1 MACRO0.494897959184, F1 POS0.775510204082, ACCURACY0.650793650794, PRECISION0.627586206897, RECALL0.540217391304
Round30, ROCAUC0.371031746032, LOGLOSS0.690933812496, F1 MACRO0.464262295082, F1 POS0.24, ACCURACY0.558139534884, PRECISION0.503333333333, RECALL0.505952380952
Round31, ROCAUC0.623326286117, LOGLOSS0.681455805506, F1 MACRO0.565111843246, F1 POS0.582278481013, ACCURACY0.565789473684, PRECISION0.583333333333, RECALL0.58104298802
Round32, ROCAUC0.506802721088, LOGLOSS0.666837571987, F1 MACRO0.391304347826, F1 POS0.0, ACCURACY0.642857142857, PRECISION0.36, RECALL0.428571428571
Round33, ROCAUC0.506172839506, LOGLOSS0.60779346029, F1 MACRO0.50101010101, F1 POS0.133333333333, ACCURACY0.771929824561, PRECISION0.519444444444, RECALL0.564814814815
Round34, ROCAUC0.352564102564, LOGLOSS0.666725089316, F1 MACRO0.459411556186, F1 POS0.193548387097, ACCURACY0.590163934426, PRECISION0.467054263566, RECALL0.459134615385
Round35, ROCAUC0.565018315018, LOGLOSS0.661512856206, F1 MACRO0.587391304348, F1 POS0.434782608696, ACCURACY0.643835616438, PRECISION0.585416666667, RECALL0.593864468864
Round36, ROCAUC0.654814814815, LOGLOSS0.653770398062, F1 MACRO0.594805194805, F1 POS0.571428571429, ACCURACY0.596153846154, PRECISION0.595238095238, RECALL0.594814814815
Round37, ROCAUC0.376, LOGLOSS0.672175743947, F1 MACRO0.430476190476, F1 POS0.08, ACCURACY0.646153846154, PRECISION0.422727272727, RECALL0.443333333333
Round38, ROCAUC0.516250944822, LOGLOSS0.752027309647, F1 MACRO0.459684411306, F1 POS0.481012658228, ACCURACY0.460526315789, PRECISION0.516025641026, RECALL0.515117157974
