Round0, ROCAUC0.579937304075, LOGLOSS0.590533867851, F1 SCORE0.420289855072,
Round1, ROCAUC0.637566137566, LOGLOSS0.617521779685, F1 SCORE0.536363636364,
Round2, ROCAUC0.5859375, LOGLOSS0.654346529056, F1 SCORE0.468372423596,
Round3, ROCAUC0.756172839506, LOGLOSS0.718177984158, F1 SCORE0.440052700922,
Round4, ROCAUC0.4, LOGLOSS0.776924916828, F1 SCORE0.413875598086,
Round5, ROCAUC0.568948412698, LOGLOSS0.853669851586, F1 SCORE0.449159663866,
Round6, ROCAUC0.692819148936, LOGLOSS0.521208467809, F1 SCORE0.590773809524,
Round7, ROCAUC0.723577235772, LOGLOSS0.560865521748, F1 SCORE0.555405405405,
Round8, ROCAUC0.802857142857, LOGLOSS0.47310934729, F1 SCORE0.430379746835,
Round9, ROCAUC0.531034482759, LOGLOSS1.10302348504, F1 SCORE0.5,
Round10, ROCAUC0.803703703704, LOGLOSS0.470794687621, F1 SCORE0.584615384615,
Round11, ROCAUC0.509803921569, LOGLOSS0.521957674135, F1 SCORE0.434782608696,
Round12, ROCAUC0.657467532468, LOGLOSS0.751309788525, F1 SCORE0.32211313698,
Round13, ROCAUC0.65, LOGLOSS0.52073043524, F1 SCORE0.52519379845,
Round14, ROCAUC0.738797814208, LOGLOSS0.460046296688, F1 SCORE0.617185185185,
Round15, ROCAUC0.55974025974, LOGLOSS1.80295719258, F1 SCORE0.347665279704,
Round16, ROCAUC0.768556005398, LOGLOSS0.564907351136, F1 SCORE0.70303030303,
Round17, ROCAUC0.791021671827, LOGLOSS0.535203921204, F1 SCORE0.69144648455,
Round18, ROCAUC0.6984375, LOGLOSS0.61146393447, F1 SCORE0.563025210084,
Round19, ROCAUC0.732857142857, LOGLOSS0.631971286658, F1 SCORE0.688453159041,
Round20, ROCAUC0.680134680135, LOGLOSS0.654899875323, F1 SCORE0.661988304094,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.638337468983, LOGLOSS0.653836968437, F1 SCORE0.623015873016,
