Round0, ROCAUC0.579937304075, LOGLOSS0.768719957606, F1 SCORE0.466666666667,
Round1, ROCAUC0.564814814815, LOGLOSS0.637375837448, F1 SCORE0.535425101215,
Round2, ROCAUC0.619419642857, LOGLOSS0.638683194803, F1 SCORE0.499665551839,
Round3, ROCAUC0.682098765432, LOGLOSS1.0245207277, F1 SCORE0.484848484848,
Round4, ROCAUC0.545918367347, LOGLOSS0.654021982028, F1 SCORE0.55,
Round5, ROCAUC0.538194444444, LOGLOSS0.740456903326, F1 SCORE0.361111111111,
Round6, ROCAUC0.559840425532, LOGLOSS0.672502303123, F1 SCORE0.484605087015,
Round7, ROCAUC0.849593495935, LOGLOSS0.547638408047, F1 SCORE0.72514619883,
Round8, ROCAUC0.877142857143, LOGLOSS0.375791494926, F1 SCORE0.64,
Round9, ROCAUC0.570344827586, LOGLOSS0.697512978205, F1 SCORE0.52380952381,
Round10, ROCAUC0.674074074074, LOGLOSS0.541310033355, F1 SCORE0.586306653809,
Round11, ROCAUC0.529411764706, LOGLOSS0.676212662688, F1 SCORE0.384615384615,
Round12, ROCAUC0.625, LOGLOSS0.785351475477, F1 SCORE0.368863955119,
Round13, ROCAUC0.622222222222, LOGLOSS0.655603369888, F1 SCORE0.424242424242,
Round14, ROCAUC0.730054644809, LOGLOSS0.492393734719, F1 SCORE0.626229508197,
Round15, ROCAUC0.698051948052, LOGLOSS1.28721175301, F1 SCORE0.32947885316,
Round16, ROCAUC0.7665317139, LOGLOSS0.518683206184, F1 SCORE0.713861018209,
Round17, ROCAUC0.6826625387, LOGLOSS0.78202733835, F1 SCORE0.426406926407,
Round18, ROCAUC0.728125, LOGLOSS0.616798398228, F1 SCORE0.675,
Round19, ROCAUC0.787142857143, LOGLOSS0.59768692958, F1 SCORE0.752990851513,
Round20, ROCAUC0.685185185185, LOGLOSS0.66273433905, F1 SCORE0.661988304094,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.613523573201, LOGLOSS0.672752918381, F1 SCORE0.547619047619,
Round23, ROCAUC0.642556770395, LOGLOSS1.12250236177, F1 SCORE0.494047619048,
Round24, ROCAUC0.785318559557, LOGLOSS0.64499857708, F1 SCORE0.733893557423,
Round25, ROCAUC0.559722222222, LOGLOSS1.27231767134, F1 SCORE0.429010671007,
Round26, ROCAUC0.722222222222, LOGLOSS0.764956505717, F1 SCORE0.597826086957,
Round27, ROCAUC0.615677966102, LOGLOSS0.648395404031, F1 SCORE0.488273397364,
