Round0, ROCAUC0.501567398119, LOGLOSS0.671944874525, F1 MACRO0.447272727273, F1 POS0.24, ACCURACY0.525, PRECISION0.453296703297, RECALL0.44670846395
Round1, ROCAUC0.457671957672, LOGLOSS0.62987275334, F1 MACRO0.440243902439, F1 POS0.1, ACCURACY0.647058823529, PRECISION0.445454545455, RECALL0.436507936508
Round2, ROCAUC0.444196428571, LOGLOSS0.69358396056, F1 MACRO0.405828002843, F1 POS0.0952380952381, ACCURACY0.568181818182, PRECISION0.407692307692, RECALL0.459821428571
Round3, ROCAUC0.310185185185, LOGLOSS0.786794122528, F1 MACRO0.245065789474, F1 POS0.0526315789474, ACCURACY0.294117647059, PRECISION0.220454545455, RECALL0.310185185185
Round4, ROCAUC0.391836734694, LOGLOSS0.711950453568, F1 MACRO0.423529411765, F1 POS0.2, ACCURACY0.510204081633, PRECISION0.427083333333, RECALL0.421428571429
Round5, ROCAUC0.467757936508, LOGLOSS0.693327466647, F1 MACRO0.467617488894, F1 POS0.637362637363, ACCURACY0.521739130435, PRECISION0.471824686941, RECALL0.46875
Round6, ROCAUC0.359042553191, LOGLOSS0.669083057208, F1 MACRO0.499732477261, F1 POS0.190476190476, ACCURACY0.690909090909, PRECISION0.505494505495, RECALL0.507978723404
Round7, ROCAUC0.69512195122, LOGLOSS0.622090712507, F1 MACRO0.687559354226, F1 POS0.461538461538, ACCURACY0.851063829787, PRECISION0.676785714286, RECALL0.701219512195
Round8, ROCAUC0.794285714286, LOGLOSS0.59505417082, F1 MACRO0.807142857143, F1 POS0.7, ACCURACY0.866666666667, PRECISION0.807142857143, RECALL0.807142857143
Round9, ROCAUC0.468275862069, LOGLOSS0.696315949714, F1 MACRO0.484896661367, F1 POS0.294117647059, ACCURACY0.555555555556, PRECISION0.555555555556, RECALL0.531034482759
Round10, ROCAUC0.653703703704, LOGLOSS0.690792921262, F1 MACRO0.528225806452, F1 POS0.25, ACCURACY0.692307692308, PRECISION0.533482142857, RECALL0.527777777778
Round11, ROCAUC0.254901960784, LOGLOSS0.549344270275, F1 MACRO0.463917525773, F1 POS0.0, ACCURACY0.865384615385, PRECISION0.489130434783, RECALL0.441176470588
Round12, ROCAUC0.595779220779, LOGLOSS0.706905606389, F1 MACRO0.5, F1 POS0.4, ACCURACY0.52, PRECISION0.570175438596, RECALL0.551948051948
Round13, ROCAUC0.438888888889, LOGLOSS0.693869868103, F1 MACRO0.371794871795, F1 POS0.0769230769231, ACCURACY0.510204081633, PRECISION0.467171717172, RECALL0.391666666667
Round14, ROCAUC0.581420765027, LOGLOSS0.59249985218, F1 MACRO0.468531468531, F1 POS0.0909090909091, ACCURACY0.736842105263, PRECISION0.469979296066, RECALL0.484153005464
Round15, ROCAUC0.423376623377, LOGLOSS0.723013871765, F1 MACRO0.416861826698, F1 POS0.571428571429, ACCURACY0.457831325301, PRECISION0.421212121212, RECALL0.415584415584
Round16, ROCAUC0.640350877193, LOGLOSS0.608734743084, F1 MACRO0.52380952381, F1 POS0.142857142857, ACCURACY0.828571428571, PRECISION0.913043478261, RECALL0.538461538462
Round17, ROCAUC0.526315789474, LOGLOSS0.760878701817, F1 MACRO0.302631578947, F1 POS0.5, ACCURACY0.358490566038, PRECISION0.423469387755, RECALL0.476780185759
Round18, ROCAUC0.678125, LOGLOSS0.697536261036, F1 MACRO0.440860215054, F1 POS0.548387096774, ACCURACY0.461538461538, PRECISION0.552380952381, RECALL0.534375
Round19, ROCAUC0.68, LOGLOSS0.651395249061, F1 MACRO0.576086956522, F1 POS0.5, ACCURACY0.589743589744, PRECISION0.579365079365, RECALL0.585714285714
Round20, ROCAUC0.447811447811, LOGLOSS0.692341400128, F1 MACRO0.506451612903, F1 POS0.4, ACCURACY0.529411764706, PRECISION0.509404388715, RECALL0.510101010101
Round21, ROCAUC0.496071829405, LOGLOSS0.730928480128, F1 MACRO0.444444444444, F1 POS0.555555555556, ACCURACY0.466666666667, PRECISION0.488888888889, RECALL0.491582491582
Round22, ROCAUC0.593672456576, LOGLOSS0.694327836497, F1 MACRO0.495905666557, F1 POS0.619718309859, ACCURACY0.526315789474, PRECISION0.577777777778, RECALL0.552109181141
Round23, ROCAUC0.588730025231, LOGLOSS0.689223596879, F1 MACRO0.481946624804, F1 POS0.637362637363, ACCURACY0.528571428571, PRECISION0.49, RECALL0.491589571068
Round24, ROCAUC0.465373961219, LOGLOSS0.71693825408, F1 MACRO0.521008403361, F1 POS0.571428571429, ACCURACY0.526315789474, PRECISION0.527536231884, RECALL0.526315789474
Round25, ROCAUC0.467708333333, LOGLOSS0.696708926133, F1 MACRO0.481957186544, F1 POS0.697247706422, ACCURACY0.571428571429, PRECISION0.527644230769, RECALL0.515972222222
Round26, ROCAUC0.595029239766, LOGLOSS0.692213358106, F1 MACRO0.539194139194, F1 POS0.564102564103, ACCURACY0.540540540541, PRECISION0.539705882353, RECALL0.539473684211
Round27, ROCAUC0.554237288136, LOGLOSS0.604088064613, F1 MACRO0.423958333333, F1 POS0.0666666666667, ACCURACY0.645569620253, PRECISION0.41231884058, RECALL0.448728813559
Round28, ROCAUC0.663352272727, LOGLOSS0.732203756654, F1 MACRO0.359624931054, F1 POS0.448979591837, ACCURACY0.372093023256, PRECISION0.644736842105, RECALL0.578125
Round29, ROCAUC0.595652173913, LOGLOSS0.675190028217, F1 MACRO0.513888888889, F1 POS0.583333333333, ACCURACY0.52380952381, PRECISION0.521673387097, RECALL0.523369565217
Round30, ROCAUC0.543650793651, LOGLOSS0.63813455091, F1 MACRO0.572443181818, F1 POS0.363636363636, ACCURACY0.674418604651, PRECISION0.579761904762, RECALL0.632936507937
Round31, ROCAUC0.543692741367, LOGLOSS0.686295274841, F1 MACRO0.541193181818, F1 POS0.46875, ACCURACY0.552631578947, PRECISION0.541935483871, RECALL0.541226215645
Round32, ROCAUC0.43537414966, LOGLOSS0.628265611295, F1 MACRO0.501831501832, F1 POS0.190476190476, ACCURACY0.696428571429, PRECISION0.520408163265, RECALL0.511904761905
Round33, ROCAUC0.555555555556, LOGLOSS0.665635400697, F1 MACRO0.411904761905, F1 POS0.133333333333, ACCURACY0.543859649123, PRECISION0.52037037037, RECALL0.601851851852
Round34, ROCAUC0.41266025641, LOGLOSS0.645851762568, F1 MACRO0.461764705882, F1 POS0.1, ACCURACY0.704918032787, PRECISION0.460317460317, RECALL0.475961538462
Round35, ROCAUC0.641025641026, LOGLOSS0.630021719492, F1 MACRO0.54748326308, F1 POS0.324324324324, ACCURACY0.657534246575, PRECISION0.555921052632, RECALL0.546703296703
Round36, ROCAUC0.576296296296, LOGLOSS0.682125325959, F1 MACRO0.487878787879, F1 POS0.409090909091, ACCURACY0.5, PRECISION0.494417862839, RECALL0.494814814815
Round37, ROCAUC0.646666666667, LOGLOSS0.644309104406, F1 MACRO0.550995530272, F1 POS0.260869565217, ACCURACY0.738461538462, PRECISION0.582236842105, RECALL0.55
Round38, ROCAUC0.466742252457, LOGLOSS0.673003653162, F1 MACRO0.461782661783, F1 POS0.171428571429, ACCURACY0.618421052632, PRECISION0.511029411765, RECALL0.504535147392
Round39, ROCAUC0.403273809524, LOGLOSS0.694026573284, F1 MACRO0.417104276069, F1 POS0.511627906977, ACCURACY0.432432432432, PRECISION0.416666666667, RECALL0.418154761905
Round40, ROCAUC0.621173469388, LOGLOSS0.683255906747, F1 MACRO0.516790566521, F1 POS0.382978723404, ACCURACY0.553846153846, PRECISION0.542220113852, RECALL0.556760204082
Round41, ROCAUC0.562643678161, LOGLOSS0.67583894648, F1 MACRO0.502090209021, F1 POS0.311111111111, ACCURACY0.575342465753, PRECISION0.523643410853, RECALL0.535057471264
Round42, ROCAUC0.50730994152, LOGLOSS0.68267045342, F1 MACRO0.411121524524, F1 POS0.121212121212, ACCURACY0.553846153846, PRECISION0.454802259887, RECALL0.48440545809
Round43, ROCAUC0.545833333333, LOGLOSS0.684832679954, F1 MACRO0.44367816092, F1 POS0.266666666667, ACCURACY0.5, PRECISION0.464705882353, RECALL0.475
Round44, ROCAUC0.402777777778, LOGLOSS0.677120226026, F1 MACRO0.451754385965, F1 POS0.166666666667, ACCURACY0.6, PRECISION0.45, RECALL0.460317460317
Round45, ROCAUC0.486607142857, LOGLOSS0.742759943008, F1 MACRO0.331269349845, F1 POS0.294117647059, ACCURACY0.333333333333, PRECISION0.446153846154, RECALL0.4375
Round46, ROCAUC0.642592592593, LOGLOSS0.672940005647, F1 MACRO0.594827586207, F1 POS0.5, ACCURACY0.617021276596, PRECISION0.603830645161, RECALL0.59537037037
TOTAL All round, ROCAUC0.528177014406, LOGLOSS0.676090206505, F1 MACRO0.478210687504, F1 POS0.344096906951, ACCURACY0.577332517407, PRECISION0.516985162769, RECALL0.511452803158
