Round0, ROCAUC0.752351097179, LOGLOSS0.572221813072, F1 SCORE0.411764705882,
Round1, ROCAUC0.497354497354, LOGLOSS0.624406425684, F1 SCORE0.420454545455,
Round2, ROCAUC0.602678571429, LOGLOSS0.675513743, F1 SCORE0.468372423596,
Round3, ROCAUC0.756172839506, LOGLOSS0.619145277084, F1 SCORE0.705429341548,
Round4, ROCAUC0.511224489796, LOGLOSS0.760125152311, F1 SCORE0.3875,
Round5, ROCAUC0.465277777778, LOGLOSS0.72933806371, F1 SCORE0.41722972973,
Round6, ROCAUC0.832446808511, LOGLOSS0.338478752937, F1 SCORE0.781919111816,
Round7, ROCAUC0.532520325203, LOGLOSS0.772063823298, F1 SCORE0.454394693201,
Round8, ROCAUC0.625714285714, LOGLOSS0.558997572131, F1 SCORE0.423076923077,
Round9, ROCAUC0.755862068966, LOGLOSS0.630561115979, F1 SCORE0.556164383562,
Round10, ROCAUC0.627777777778, LOGLOSS0.631331257331, F1 SCORE0.547725245317,
Round11, ROCAUC0.588235294118, LOGLOSS0.460620472781, F1 SCORE0.428571428571,
Round12, ROCAUC0.711038961039, LOGLOSS0.675031654388, F1 SCORE0.458333333333,
Round13, ROCAUC0.588888888889, LOGLOSS0.626970803859, F1 SCORE0.503378378378,
Round14, ROCAUC0.748087431694, LOGLOSS0.575685710303, F1 SCORE0.696357226792,
Round15, ROCAUC0.520779220779, LOGLOSS0.854409305087, F1 SCORE0.33064516129,
Round16, ROCAUC0.746963562753, LOGLOSS0.573632811223, F1 SCORE0.674922600619,
Round17, ROCAUC0.604489164087, LOGLOSS0.662710659346, F1 SCORE0.461382113821,
Round18, ROCAUC0.70625, LOGLOSS0.628063068367, F1 SCORE0.625225225225,
Round19, ROCAUC0.694285714286, LOGLOSS0.629671301597, F1 SCORE0.745098039216,
Round20, ROCAUC0.739898989899, LOGLOSS0.642168201652, F1 SCORE0.683229813665,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.582506203474, LOGLOSS0.6847026437, F1 SCORE0.516797488226,
Round23, ROCAUC0.560975609756, LOGLOSS0.738182172924, F1 SCORE0.526153846154,
Round24, ROCAUC0.781163434903, LOGLOSS0.615632330901, F1 SCORE0.736111111111,
Round25, ROCAUC0.546527777778, LOGLOSS1.14292712862, F1 SCORE0.420202020202,
Round26, ROCAUC0.619883040936, LOGLOSS0.692223552111, F1 SCORE0.525641025641,
Round27, ROCAUC0.661016949153, LOGLOSS0.633635876865, F1 SCORE0.559928122192,
Round28, ROCAUC0.71875, LOGLOSS0.606999623221, F1 SCORE0.653225806452,
Round29, ROCAUC0.501086956522, LOGLOSS1.26293597282, F1 SCORE0.326923076923,
Round30, ROCAUC0.535714285714, LOGLOSS0.660489280557, F1 SCORE0.511363636364,
Round31, ROCAUC0.605355884426, LOGLOSS1.05267499966, F1 SCORE0.552941176471,
Round32, ROCAUC0.706632653061, LOGLOSS0.565140985485, F1 SCORE0.649373881932,
Round33, ROCAUC0.62037037037, LOGLOSS0.533130431384, F1 SCORE0.547219770521,
Round34, ROCAUC0.731570512821, LOGLOSS0.501357479174, F1 SCORE0.672989690722,
Round35, ROCAUC0.597527472527, LOGLOSS0.637909910348, F1 SCORE0.510592652186,
Round36, ROCAUC0.56, LOGLOSS1.20143779885, F1 SCORE0.519327731092,
Round37, ROCAUC0.613333333333, LOGLOSS0.621890595068, F1 SCORE0.517256443862,
Round38, ROCAUC0.584278155707, LOGLOSS0.734404122102, F1 SCORE0.498901098901,
Round39, ROCAUC0.729166666667, LOGLOSS0.701087577117, F1 SCORE0.574712643678,
Round40, ROCAUC0.49681122449, LOGLOSS0.635535540948, F1 SCORE0.451733833177,
Round41, ROCAUC0.709195402299, LOGLOSS0.522242330908, F1 SCORE0.599780701754,
Round42, ROCAUC0.714912280702, LOGLOSS0.619809629367, F1 SCORE0.65644820296,
Round43, ROCAUC0.702083333333, LOGLOSS0.666327081282, F1 SCORE0.405828002843,
Round44, ROCAUC0.60119047619, LOGLOSS0.662127865776, F1 SCORE0.547920433996,
Round45, ROCAUC0.714285714286, LOGLOSS0.558482588786, F1 SCORE0.598214285714,
Round46, ROCAUC0.764814814815, LOGLOSS0.641576515867, F1 SCORE0.743169398907,
TOTAL All round, ROCAUC[0.7523511  0.4973545  0.60267857 0.75617284 0.51122449 0.46527778
 0.83244681 0.53252033 0.62571429 0.75586207 0.62777778 0.58823529
 0.71103896 0.58888889 0.74808743 0.52077922 0.74696356 0.60448916
 0.70625    0.69428571 0.73989899 0.64927048 0.5825062  0.56097561
 0.78116343 0.54652778 0.61988304 0.66101695 0.71875    0.50108696
 0.53571429 0.60535588 0.70663265 0.62037037 0.73157051 0.59752747
 0.56       0.61333333 0.58427816 0.72916667 0.49681122 0.7091954
 0.71491228 0.70208333 0.60119048 0.71428571 0.76481481], LOGLOSS[0.57222181 0.62440643 0.67551374 0.61914528 0.76012515 0.72933806
 0.33847875 0.77206382 0.55899757 0.63056112 0.63133126 0.46062047
 0.67503165 0.6269708  0.57568571 0.85440931 0.57363281 0.66271066
 0.62806307 0.6296713  0.6421682  0.66937623 0.68470264 0.73818217
 0.61563233 1.14292713 0.69222355 0.63363588 0.60699962 1.26293597
 0.66048928 1.052675   0.56514099 0.53313043 0.50135748 0.63790991
 1.2014378  0.6218906  0.73440412 0.70108758 0.63553554 0.52224233
 0.61980963 0.66632708 0.66212787 0.55848259 0.64157652], F1 SCORE[0.41176471 0.42045455 0.46837242 0.70542934 0.3875     0.41722973
 0.78191911 0.45439469 0.42307692 0.55616438 0.54772525 0.42857143
 0.45833333 0.50337838 0.69635723 0.33064516 0.6749226  0.46138211
 0.62522523 0.74509804 0.68322981 0.63782696 0.51679749 0.52615385
 0.73611111 0.42020202 0.52564103 0.55992812 0.65322581 0.32692308
 0.51136364 0.55294118 0.64937388 0.54721977 0.67298969 0.51059265
 0.51932773 0.51725644 0.4989011  0.57471264 0.45173383 0.5997807
 0.6564482  0.405828   0.54792043 0.59821429 0.7431694 ],
Mean Auc 0.642908953247,  Mean logloss 0.676667813813, Mean F1 0.545569307827,
