Round0, ROCAUC0.489028213166, LOGLOSS0.664439639449, F1 MACRO0.481311975591, F1 POS0.260869565217, ACCURACY0.575, PRECISION0.482142857143, RECALL0.481191222571
Round1, ROCAUC0.478835978836, LOGLOSS0.644339997979, F1 MACRO0.420454545455, F1 POS0.0909090909091, ACCURACY0.607843137255, PRECISION0.433198380567, RECALL0.412698412698
Round2, ROCAUC0.458705357143, LOGLOSS0.691977808421, F1 MACRO0.508684863524, F1 POS0.307692307692, ACCURACY0.590909090909, PRECISION0.523529411765, RECALL0.517857142857
Round3, ROCAUC0.453703703704, LOGLOSS0.698742896903, F1 MACRO0.43956043956, F1 POS0.307692307692, ACCURACY0.470588235294, PRECISION0.480769230769, RECALL0.486111111111
Round4, ROCAUC0.424489795918, LOGLOSS0.67722854444, F1 MACRO0.476495726496, F1 POS0.230769230769, ACCURACY0.591836734694, PRECISION0.476351351351, RECALL0.478571428571
Round5, ROCAUC0.53373015873, LOGLOSS0.677469375341, F1 MACRO0.592272727273, F1 POS0.704545454545, ACCURACY0.623188405797, PRECISION0.594396551724, RECALL0.608630952381
Round6, ROCAUC0.585106382979, LOGLOSS0.619885716655, F1 MACRO0.634308510638, F1 POS0.375, ACCURACY0.818181818182, PRECISION0.634308510638, RECALL0.634308510638
Round7, ROCAUC0.443089430894, LOGLOSS0.686563372612, F1 MACRO0.491891891892, F1 POS0.2, ACCURACY0.659574468085, PRECISION0.510822510823, RECALL0.520325203252
Round8, ROCAUC0.695714285714, LOGLOSS0.647734755278, F1 MACRO0.708994708995, F1 POS0.592592592593, ACCURACY0.755555555556, PRECISION0.699579831933, RECALL0.771428571429
Round9, ROCAUC0.513103448276, LOGLOSS0.715218155472, F1 MACRO0.590344827586, F1 POS0.56, ACCURACY0.592592592593, PRECISION0.590344827586, RECALL0.590344827586
Round10, ROCAUC0.659259259259, LOGLOSS0.584884092594, F1 MACRO0.417910447761, F1 POS0.0, ACCURACY0.717948717949, PRECISION0.378378378378, RECALL0.466666666667
Round11, ROCAUC0.372549019608, LOGLOSS0.614352524854, F1 MACRO0.452631578947, F1 POS0.0, ACCURACY0.826923076923, PRECISION0.488636363636, RECALL0.421568627451
Round12, ROCAUC0.584415584416, LOGLOSS0.696000750661, F1 MACRO0.52, F1 POS0.52, ACCURACY0.52, PRECISION0.527597402597, RECALL0.527597402597
Round13, ROCAUC0.511111111111, LOGLOSS0.693613414862, F1 MACRO0.387806096952, F1 POS0.137931034483, ACCURACY0.489795918367, PRECISION0.498333333333, RECALL0.494444444444
Round14, ROCAUC0.611475409836, LOGLOSS0.621050597021, F1 MACRO0.495854063018, F1 POS0.111111111111, ACCURACY0.789473684211, PRECISION0.570776255708, RECALL0.51693989071
Round15, ROCAUC0.529220779221, LOGLOSS0.716025485332, F1 MACRO0.479206187071, F1 POS0.516853932584, ACCURACY0.481927710843, PRECISION0.511704681873, RECALL0.512662337662
Round16, ROCAUC0.441295546559, LOGLOSS0.681549790076, F1 MACRO0.497126436782, F1 POS0.166666666667, ACCURACY0.714285714286, PRECISION0.497688751926, RECALL0.497975708502
Round17, ROCAUC0.547213622291, LOGLOSS0.735205603096, F1 MACRO0.314923619271, F1 POS0.521739130435, ACCURACY0.377358490566, PRECISION0.513333333333, RECALL0.503095975232
