Round0, ROCAUC0.567398119122, LOGLOSS0.650564082712, F1 MACRO0.54233409611, F1 POS0.347826086957, ACCURACY0.625, PRECISION0.541666666667, RECALL0.543887147335
Round1, ROCAUC0.362433862434, LOGLOSS0.685076768492, F1 MACRO0.443636363636, F1 POS0.16, ACCURACY0.588235294118, PRECISION0.4625, RECALL0.444444444444
Round2, ROCAUC0.415178571429, LOGLOSS0.692200227895, F1 MACRO0.333333333333, F1 POS0.0, ACCURACY0.5, PRECISION0.289473684211, RECALL0.392857142857
Round3, ROCAUC0.353395061728, LOGLOSS0.768011568808, F1 MACRO0.300806451613, F1 POS0.15, ACCURACY0.333333333333, PRECISION0.2995951417, RECALL0.347222222222
Round4, ROCAUC0.470408163265, LOGLOSS0.689259707928, F1 MACRO0.45739046702, F1 POS0.258064516129, ACCURACY0.530612244898, PRECISION0.461397058824, RECALL0.457142857143
Round5, ROCAUC0.540178571429, LOGLOSS0.678708513578, F1 MACRO0.599613152805, F1 POS0.744680851064, ACCURACY0.652173913043, PRECISION0.597826086957, RECALL0.602678571429
Round6, ROCAUC0.566489361702, LOGLOSS0.658678507805, F1 MACRO0.508301404853, F1 POS0.275862068966, ACCURACY0.618181818182, PRECISION0.536414565826, RECALL0.56914893617
Round7, ROCAUC0.705284552846, LOGLOSS0.635090881206, F1 MACRO0.664285714286, F1 POS0.428571428571, ACCURACY0.829787234043, PRECISION0.649038461538, RECALL0.689024390244
Round8, ROCAUC0.702857142857, LOGLOSS0.607090102964, F1 MACRO0.633061527057, F1 POS0.421052631579, ACCURACY0.755555555556, PRECISION0.638888888889, RECALL0.628571428571
Round9, ROCAUC0.546206896552, LOGLOSS0.694297082998, F1 MACRO0.515862068966, F1 POS0.48, ACCURACY0.518518518519, PRECISION0.515862068966, RECALL0.515862068966
Round10, ROCAUC0.409259259259, LOGLOSS0.689888691291, F1 MACRO0.478144513827, F1 POS0.210526315789, ACCURACY0.615384615385, PRECISION0.479310344828, RECALL0.477777777778
Round11, ROCAUC0.411764705882, LOGLOSS0.572762579872, F1 MACRO0.458333333333, F1 POS0.0, ACCURACY0.846153846154, PRECISION0.488888888889, RECALL0.43137254902
Round12, ROCAUC0.491883116883, LOGLOSS0.694323784113, F1 MACRO0.499799919968, F1 POS0.489795918367, ACCURACY0.5, PRECISION0.509852216749, RECALL0.50974025974
Round13, ROCAUC0.6, LOGLOSS0.691142411865, F1 MACRO0.326982720425, F1 POS0.162162162162, ACCURACY0.367346938776, PRECISION0.514204545455, RECALL0.541666666667
Round14, ROCAUC0.475956284153, LOGLOSS0.68698909016, F1 MACRO0.431704885344, F1 POS0.117647058824, ACCURACY0.605263157895, PRECISION0.438596491228, RECALL0.427322404372
Round15, ROCAUC0.475974025974, LOGLOSS0.719919202558, F1 MACRO0.46193276044, F1 POS0.565656565657, ACCURACY0.481927710843, PRECISION0.472027972028, RECALL0.468831168831
