Round0, ROCAUC0.647335423197, LOGLOSS0.646216878295, F1 MACRO0.666666666667, F1 POS0.5, ACCURACY0.75, PRECISION0.681003584229, RECALL0.658307210031
Round1, ROCAUC0.283068783069, LOGLOSS0.667462735784, F1 MACRO0.430335097002, F1 POS0.0952380952381, ACCURACY0.627450980392, PRECISION0.439102564103, RECALL0.424603174603
Round2, ROCAUC0.381696428571, LOGLOSS0.721031774851, F1 MACRO0.333333333333, F1 POS0.0, ACCURACY0.5, PRECISION0.289473684211, RECALL0.392857142857
Round3, ROCAUC0.456790123457, LOGLOSS0.739896834481, F1 MACRO0.408636545382, F1 POS0.292682926829, ACCURACY0.43137254902, PRECISION0.430501930502, RECALL0.444444444444
Round4, ROCAUC0.281632653061, LOGLOSS0.818242485426, F1 MACRO0.280922431866, F1 POS0.222222222222, ACCURACY0.285714285714, PRECISION0.33064516129, RECALL0.307142857143
Round5, ROCAUC0.580357142857, LOGLOSS0.701907191588, F1 MACRO0.596679915829, F1 POS0.725274725275, ACCURACY0.63768115942, PRECISION0.595259391771, RECALL0.605654761905
Round6, ROCAUC0.659574468085, LOGLOSS0.72667985396, F1 MACRO0.323695579927, F1 POS0.274509803922, ACCURACY0.327272727273, PRECISION0.539728682171, RECALL0.554521276596
Round7, ROCAUC0.510162601626, LOGLOSS0.67709499978, F1 MACRO0.509021842355, F1 POS0.153846153846, ACCURACY0.765957446809, PRECISION0.508928571429, RECALL0.510162601626
Round8, ROCAUC0.518571428571, LOGLOSS0.675882391135, F1 MACRO0.513888888889, F1 POS0.222222222222, ACCURACY0.688888888889, PRECISION0.516891891892, RECALL0.514285714286
Round9, ROCAUC0.48, LOGLOSS0.767138765918, F1 MACRO0.453784443669, F1 POS0.524590163934, ACCURACY0.462962962963, PRECISION0.472222222222, RECALL0.475172413793
Round10, ROCAUC0.703703703704, LOGLOSS0.639912801675, F1 MACRO0.617305976806, F1 POS0.421052631579, ACCURACY0.717948717949, PRECISION0.613793103448, RECALL0.622222222222
Round11, ROCAUC0.235294117647, LOGLOSS0.549051877398, F1 MACRO0.48, F1 POS0.0, ACCURACY0.923076923077, PRECISION0.489795918367, RECALL0.470588235294
Round12, ROCAUC0.551136363636, LOGLOSS0.694589768648, F1 MACRO0.333333333333, F1 POS0.0666666666667, ACCURACY0.44, PRECISION0.46875, RECALL0.49512987013
Round13, ROCAUC0.655555555556, LOGLOSS0.701701354007, F1 MACRO0.326982720425, F1 POS0.162162162162, ACCURACY0.367346938776, PRECISION0.514204545455, RECALL0.541666666667
Round14, ROCAUC0.520218579235, LOGLOSS0.625284096128, F1 MACRO0.552565180824, F1 POS0.275862068966, ACCURACY0.723684210526, PRECISION0.554147465438, RECALL0.551366120219
Round15, ROCAUC0.498051948052, LOGLOSS0.712780881359, F1 MACRO0.487955346651, F1 POS0.54347826087, ACCURACY0.493975903614, PRECISION0.511750881316, RECALL0.512987012987
Round16, ROCAUC0.542510121457, LOGLOSS0.799822889907, F1 MACRO0.299857113697, F1 POS0.30985915493, ACCURACY0.3, PRECISION0.511494252874, RECALL0.510796221323
Round17, ROCAUC0.602167182663, LOGLOSS0.700105208271, F1 MACRO0.383489681051, F1 POS0.523076923077, ACCURACY0.415094339623, PRECISION0.541925465839, RECALL0.520897832817
Round18, ROCAUC0.6140625, LOGLOSS0.718273252249, F1 MACRO0.416182733256, F1 POS0.539682539683, ACCURACY0.442307692308, PRECISION0.531007751938, RECALL0.51875
Round19, ROCAUC0.785714285714, LOGLOSS0.650858058379, F1 MACRO0.589473684211, F1 POS0.6, ACCURACY0.589743589744, PRECISION0.653846153846, RECALL0.648571428571
Round20, ROCAUC0.438552188552, LOGLOSS0.692901770274, F1 MACRO0.456289978678, F1 POS0.285714285714, ACCURACY0.509803921569, PRECISION0.455882352941, RECALL0.457070707071
Round21, ROCAUC0.512345679012, LOGLOSS0.725943641365, F1 MACRO0.425837320574, F1 POS0.578947368421, ACCURACY0.466666666667, PRECISION0.497217068646, RECALL0.498316498316
Round22, ROCAUC0.627791563275, LOGLOSS0.718495233017, F1 MACRO0.402169981917, F1 POS0.632911392405, ACCURACY0.491228070175, PRECISION0.610849056604, RECALL0.529156327543
Round23, ROCAUC0.478553406224, LOGLOSS0.71056394875, F1 MACRO0.455364455364, F1 POS0.486486486486, ACCURACY0.457142857143, PRECISION0.461916461916, RECALL0.460891505467
Round24, ROCAUC0.534626038781, LOGLOSS0.69987628256, F1 MACRO0.482437275986, F1 POS0.577777777778, ACCURACY0.5, PRECISION0.5, RECALL0.5
Round25, ROCAUC0.471527777778, LOGLOSS0.694751182547, F1 MACRO0.486959832477, F1 POS0.660194174757, ACCURACY0.545454545455, PRECISION0.503629764065, RECALL0.502777777778
Round26, ROCAUC0.542397660819, LOGLOSS0.692210843434, F1 MACRO0.528132033008, F1 POS0.451612903226, ACCURACY0.540540540541, PRECISION0.551666666667, RECALL0.545321637427
Round27, ROCAUC0.53686440678, LOGLOSS0.616239465113, F1 MACRO0.539627039627, F1 POS0.230769230769, ACCURACY0.746835443038, PRECISION0.633561643836, RECALL0.549576271186
Round28, ROCAUC0.643465909091, LOGLOSS0.746733167837, F1 MACRO0.387061403509, F1 POS0.458333333333, ACCURACY0.395348837209, PRECISION0.648648648649, RECALL0.59375
Round29, ROCAUC0.560869565217, LOGLOSS0.706730761225, F1 MACRO0.325925925926, F1 POS0.133333333333, ACCURACY0.380952380952, PRECISION0.481034482759, RECALL0.49402173913
Round30, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.14, F1 POS0.28, ACCURACY0.162790697674, PRECISION0.0813953488372, RECALL0.5
Round31, ROCAUC0.594785059901, LOGLOSS0.689473787813, F1 MACRO0.552631578947, F1 POS0.552631578947, ACCURACY0.552631578947, PRECISION0.562367864693, RECALL0.562367864693
Round32, ROCAUC0.440476190476, LOGLOSS0.624082724431, F1 MACRO0.524617996604, F1 POS0.210526315789, ACCURACY0.732142857143, PRECISION0.582352941176, RECALL0.535714285714
Round33, ROCAUC0.549382716049, LOGLOSS0.658371637265, F1 MACRO0.428093645485, F1 POS0.0869565217391, ACCURACY0.631578947368, PRECISION0.497972972973, RECALL0.490740740741
Round34, ROCAUC0.347756410256, LOGLOSS0.653758604507, F1 MACRO0.405458089669, F1 POS0.0740740740741, ACCURACY0.590163934426, PRECISION0.408054711246, RECALL0.403044871795
Round35, ROCAUC0.688186813187, LOGLOSS0.675770753867, F1 MACRO0.640252316184, F1 POS0.561403508772, ACCURACY0.657534246575, PRECISION0.654654654655, RECALL0.688644688645
Round36, ROCAUC0.635555555556, LOGLOSS0.671789665635, F1 MACRO0.535714285714, F1 POS0.5, ACCURACY0.538461538462, PRECISION0.536731634183, RECALL0.536296296296
Round37, ROCAUC0.477333333333, LOGLOSS0.658470063026, F1 MACRO0.579047619048, F1 POS0.32, ACCURACY0.738461538462, PRECISION0.6, RECALL0.573333333333
Round38, ROCAUC0.537792894936, LOGLOSS0.719916645241, F1 MACRO0.472222222222, F1 POS0.5, ACCURACY0.473684210526, PRECISION0.53650533224, RECALL0.533635676493
Round39, ROCAUC0.544642857143, LOGLOSS0.69384440538, F1 MACRO0.466346153846, F1 POS0.625, ACCURACY0.513513513514, PRECISION0.477777777778, RECALL0.482142857143
Round40, ROCAUC0.616071428571, LOGLOSS0.678343797189, F1 MACRO0.570630081301, F1 POS0.458333333333, ACCURACY0.6, PRECISION0.596117424242, RECALL0.629464285714
Round41, ROCAUC0.495402298851, LOGLOSS0.676933108944, F1 MACRO0.472363945578, F1 POS0.291666666667, ACCURACY0.534246575342, PRECISION0.506060606061, RECALL0.509195402299
Round42, ROCAUC0.513157894737, LOGLOSS0.680920469302, F1 MACRO0.393333333333, F1 POS0.0666666666667, ACCURACY0.569230769231, PRECISION0.456989247312, RECALL0.492202729045
Round43, ROCAUC0.597916666667, LOGLOSS0.676257031208, F1 MACRO0.580952380952, F1 POS0.428571428571, ACCURACY0.636363636364, PRECISION0.680555555556, RECALL0.608333333333
Round44, ROCAUC0.470238095238, LOGLOSS0.662317324877, F1 MACRO0.576510446076, F1 POS0.347826086957, ACCURACY0.7, PRECISION0.60027100271, RECALL0.573412698413
Round45, ROCAUC0.397321428571, LOGLOSS0.734989555346, F1 MACRO0.348544453186, F1 POS0.258064516129, ACCURACY0.361111111111, PRECISION0.433110367893, RECALL0.410714285714
Round46, ROCAUC0.483333333333, LOGLOSS0.700967351173, F1 MACRO0.444545454545, F1 POS0.409090909091, ACCURACY0.446808510638, PRECISION0.448369565217, RECALL0.447222222222
TOTAL All round, ROCAUC0.52646703367, LOGLOSS0.691228393681, F1 MACRO0.460110207764, F1 POS0.359985502434, ACCURACY0.539642047758, PRECISION0.514854603728, RECALL0.518882451979
