Round0, ROCAUC0.667711598746, LOGLOSS0.662769106717, F1 SCORE0.402985074627,
Round1, ROCAUC0.555555555556, LOGLOSS0.680053755933, F1 SCORE0.494095418044,
Round2, ROCAUC0.7265625, LOGLOSS0.629083447836, F1 SCORE0.804444444444,
Round3, ROCAUC0.73225308642, LOGLOSS0.674401362737, F1 SCORE0.499786780384,
Round4, ROCAUC0.516326530612, LOGLOSS0.641967671866, F1 SCORE0.476495726496,
Round5, ROCAUC0.40625, LOGLOSS0.741847216219, F1 SCORE0.445652173913,
Round6, ROCAUC0.755319148936, LOGLOSS0.562373227965, F1 SCORE0.707446808511,
Round7, ROCAUC0.666666666667, LOGLOSS0.620650368327, F1 SCORE0.478799739074,
Round8, ROCAUC0.817142857143, LOGLOSS0.478330919147, F1 SCORE0.577067669173,
Round9, ROCAUC0.674482758621, LOGLOSS0.665061047232, F1 SCORE0.484896661367,
Round10, ROCAUC0.666666666667, LOGLOSS0.646444737147, F1 SCORE0.61,
Round11, ROCAUC0.705882352941, LOGLOSS0.266031146327, F1 SCORE0.48,
Round12, ROCAUC0.661525974026, LOGLOSS0.734613896012, F1 SCORE0.434644957033,
Round13, ROCAUC0.761111111111, LOGLOSS0.51105145365, F1 SCORE0.583333333333,
Round14, ROCAUC0.700546448087, LOGLOSS0.574196167094, F1 SCORE0.610256410256,
Round15, ROCAUC0.550649350649, LOGLOSS1.57748902307, F1 SCORE0.38244047619,
Round16, ROCAUC0.623481781377, LOGLOSS0.632111776088, F1 SCORE0.561904761905,
Round17, ROCAUC0.680340557276, LOGLOSS0.621712370864, F1 SCORE0.59476861167,
Round18, ROCAUC0.715625, LOGLOSS0.72368102385, F1 SCORE0.517454706142,
Round19, ROCAUC0.7, LOGLOSS0.630711722068, F1 SCORE0.735094339623,
Round20, ROCAUC0.772727272727, LOGLOSS0.547077639722, F1 SCORE0.699494949495,
Round21, ROCAUC0.694725028058, LOGLOSS0.746011957511, F1 SCORE0.563492063492,
Round22, ROCAUC0.665012406948, LOGLOSS0.646171967973, F1 SCORE0.607926629545,
Round23, ROCAUC0.616904962153, LOGLOSS0.673681784102, F1 SCORE0.604519774011,
Round24, ROCAUC0.745152354571, LOGLOSS0.630303772853, F1 SCORE0.637564196625,
Round25, ROCAUC0.633333333333, LOGLOSS0.785451424199, F1 SCORE0.356462585034,
Round26, ROCAUC0.678362573099, LOGLOSS0.662872415137, F1 SCORE0.583645911478,
Round27, ROCAUC0.572881355932, LOGLOSS0.769914591803, F1 SCORE0.482413793103,
Round28, ROCAUC0.698863636364, LOGLOSS0.607491488005, F1 SCORE0.614216701173,
Round29, ROCAUC0.528260869565, LOGLOSS1.17829936004, F1 SCORE0.325925925926,
Round30, ROCAUC0.434523809524, LOGLOSS0.645493747883, F1 SCORE0.401465201465,
Round31, ROCAUC0.645172656801, LOGLOSS0.683155703015, F1 SCORE0.600840336134,
Round32, ROCAUC0.727891156463, LOGLOSS0.575218396527, F1 SCORE0.644357596483,
Round33, ROCAUC0.740740740741, LOGLOSS0.458182035831, F1 SCORE0.477064220183,
Round34, ROCAUC0.650641025641, LOGLOSS0.545355992056, F1 SCORE0.407766990291,
Round35, ROCAUC0.626831501832, LOGLOSS0.799084834729, F1 SCORE0.502240405221,
Round36, ROCAUC0.534814814815, LOGLOSS1.59832590374, F1 SCORE0.364661654135,
Round37, ROCAUC0.464, LOGLOSS0.735189747502, F1 SCORE0.414414414414,
Round38, ROCAUC0.524565381708, LOGLOSS0.659983932188, F1 SCORE0.469591226321,
Round39, ROCAUC0.714285714286, LOGLOSS0.726963371038, F1 SCORE0.525641025641,
Round40, ROCAUC0.498724489796, LOGLOSS0.92413365641, F1 SCORE0.460463084316,
Round41, ROCAUC0.696551724138, LOGLOSS0.504964721925, F1 SCORE0.509720749381,
Round42, ROCAUC0.535575048733, LOGLOSS0.684459037964, F1 SCORE0.439215686275,
Round43, ROCAUC0.683333333333, LOGLOSS0.812551962381, F1 SCORE0.469206349206,
Round44, ROCAUC0.795634920635, LOGLOSS0.491350440085, F1 SCORE0.708624708625,
Round45, ROCAUC0.709821428571, LOGLOSS0.54178486723, F1 SCORE0.536842105263,
Round46, ROCAUC0.773148148148, LOGLOSS0.634947400778, F1 SCORE0.453153704838,
TOTAL All round, ROCAUC[0.6677116  0.55555556 0.7265625  0.73225309 0.51632653 0.40625
 0.75531915 0.66666667 0.81714286 0.67448276 0.66666667 0.70588235
 0.66152597 0.76111111 0.70054645 0.55064935 0.62348178 0.68034056
 0.715625   0.7        0.77272727 0.69472503 0.66501241 0.61690496
 0.74515235 0.63333333 0.67836257 0.57288136 0.69886364 0.52826087
 0.43452381 0.64517266 0.72789116 0.74074074 0.65064103 0.6268315
 0.53481481 0.464      0.52456538 0.71428571 0.49872449 0.69655172
 0.53557505 0.68333333 0.79563492 0.70982143 0.77314815], LOGLOSS[0.66276911 0.68005376 0.62908345 0.67440136 0.64196767 0.74184722
 0.56237323 0.62065037 0.47833092 0.66506105 0.64644474 0.26603115
 0.7346139  0.51105145 0.57419617 1.57748902 0.63211178 0.62171237
 0.72368102 0.63071172 0.54707764 0.74601196 0.64617197 0.67368178
 0.63030377 0.78545142 0.66287242 0.76991459 0.60749149 1.17829936
 0.64549375 0.6831557  0.5752184  0.45818204 0.54535599 0.79908483
 1.5983259  0.73518975 0.65998393 0.72696337 0.92413366 0.50496472
 0.68445904 0.81255196 0.49135044 0.54178487 0.6349474 ], F1 SCORE[0.40298507 0.49409542 0.80444444 0.49978678 0.47649573 0.44565217
 0.70744681 0.47879974 0.57706767 0.48489666 0.61       0.48
 0.43464496 0.58333333 0.61025641 0.38244048 0.56190476 0.59476861
 0.51745471 0.73509434 0.69949495 0.56349206 0.60792663 0.60451977
 0.6375642  0.35646259 0.58364591 0.48241379 0.6142167  0.32592593
 0.4014652  0.60084034 0.6443576  0.47706422 0.40776699 0.50224041
 0.36466165 0.41441441 0.46959123 0.52564103 0.46046308 0.50972075
 0.43921569 0.46920635 0.70862471 0.53684211 0.4531537 ],
Mean Auc 0.652054885803,  Mean logloss 0.692404331761, Mean F1 0.52643617192,
