Round0, ROCAUC0.630094043887, LOGLOSS0.578277059551, F1 SCORE0.494833524684,
Round1, ROCAUC0.662698412698, LOGLOSS0.656048567856, F1 SCORE0.506451612903,
Round2, ROCAUC0.607142857143, LOGLOSS0.668489786034, F1 SCORE0.541666666667,
Round3, ROCAUC0.760802469136, LOGLOSS0.905274047858, F1 SCORE0.554677754678,
Round4, ROCAUC0.487755102041, LOGLOSS0.652744717136, F1 SCORE0.3875,
Round5, ROCAUC0.452380952381, LOGLOSS1.06631939545, F1 SCORE0.289594742607,
Round6, ROCAUC0.738031914894, LOGLOSS0.574778281017, F1 SCORE0.634308510638,
Round7, ROCAUC0.680894308943, LOGLOSS0.604480247548, F1 SCORE0.54011741683,
Round8, ROCAUC0.66, LOGLOSS0.51721398789, F1 SCORE0.601128122482,
Round9, ROCAUC0.606206896552, LOGLOSS0.720728946229, F1 SCORE0.479681608714,
Round10, ROCAUC0.62962962963, LOGLOSS0.717984170214, F1 SCORE0.528225806452,
Round11, ROCAUC0.529411764706, LOGLOSS0.350957179908, F1 SCORE0.463917525773,
Round12, ROCAUC0.675324675325, LOGLOSS1.02948053587, F1 SCORE0.479166666667,
Round13, ROCAUC0.433333333333, LOGLOSS0.615646757651, F1 SCORE0.423529411765,
Round14, ROCAUC0.779234972678, LOGLOSS0.443357224509, F1 SCORE0.628815628816,
Round15, ROCAUC0.634415584416, LOGLOSS1.02126689183, F1 SCORE0.303183906225,
Round16, ROCAUC0.582321187584, LOGLOSS0.667261687773, F1 SCORE0.513306161592,
Round17, ROCAUC0.838235294118, LOGLOSS0.543276725513, F1 SCORE0.703655913978,
Round18, ROCAUC0.7109375, LOGLOSS0.723741718944, F1 SCORE0.609368095449,
Round19, ROCAUC0.738571428571, LOGLOSS0.608933373139, F1 SCORE0.478144513827,
Round20, ROCAUC0.63468013468, LOGLOSS0.649431963689, F1 SCORE0.521481481481,
Round21, ROCAUC0.71492704826, LOGLOSS0.663277521543, F1 SCORE0.59706959707,
Round22, ROCAUC0.63523573201, LOGLOSS0.677119101349, F1 SCORE0.512820512821,
Round23, ROCAUC0.563919259882, LOGLOSS0.759917787995, F1 SCORE0.407458247541,
Round24, ROCAUC0.680055401662, LOGLOSS0.667815595865, F1 SCORE0.51171579743,
Round25, ROCAUC0.618055555556, LOGLOSS0.843389432732, F1 SCORE0.42962962963,
Round26, ROCAUC0.714912280702, LOGLOSS0.666086147766, F1 SCORE0.486530612245,
Round27, ROCAUC0.60593220339, LOGLOSS0.676481666444, F1 SCORE0.557422969188,
Round28, ROCAUC0.529829545455, LOGLOSS0.712081630563, F1 SCORE0.301400560224,
Round29, ROCAUC0.51847826087, LOGLOSS1.03664339085, F1 SCORE0.311571868871,
Round30, ROCAUC0.521825396825, LOGLOSS0.727677991224, F1 SCORE0.339912280702,
Round31, ROCAUC0.65362931642, LOGLOSS0.68137730462, F1 SCORE0.562074384494,
Round32, ROCAUC0.663265306122, LOGLOSS0.594538387876, F1 SCORE0.47619047619,
Round33, ROCAUC0.703703703704, LOGLOSS0.438470093827, F1 SCORE0.472222222222,
Round34, ROCAUC0.664262820513, LOGLOSS0.574934167452, F1 SCORE0.54457619675,
Round35, ROCAUC0.768315018315, LOGLOSS0.568230285832, F1 SCORE0.68962585034,
Round36, ROCAUC0.648888888889, LOGLOSS0.685369848918, F1 SCORE0.532679738562,
