Round0, ROCAUC0.623824451411, LOGLOSS0.929428125412, F1 SCORE0.402985074627,
Round1, ROCAUC0.497354497354, LOGLOSS0.725162746996, F1 SCORE0.527777777778,
Round2, ROCAUC0.652901785714, LOGLOSS0.651291942055, F1 SCORE0.636825396825,
Round3, ROCAUC0.777777777778, LOGLOSS0.84069598447, F1 SCORE0.580592105263,
Round4, ROCAUC0.616326530612, LOGLOSS0.612229667756, F1 SCORE0.632683658171,
Round5, ROCAUC0.53373015873, LOGLOSS1.42515716804, F1 SCORE0.31076581576,
Round6, ROCAUC0.648936170213, LOGLOSS0.724465397813, F1 SCORE0.45,
Round7, ROCAUC0.691056910569, LOGLOSS0.594288760043, F1 SCORE0.496428571429,
Round8, ROCAUC0.711428571429, LOGLOSS0.507389115625, F1 SCORE0.595404595405,
Round9, ROCAUC0.595862068966, LOGLOSS0.971394958923, F1 SCORE0.467105263158,
Round10, ROCAUC0.762962962963, LOGLOSS0.475443590623, F1 SCORE0.606060606061,
Round11, ROCAUC0.921568627451, LOGLOSS0.754698516085, F1 SCORE0.374699374699,
Round12, ROCAUC0.655844155844, LOGLOSS1.33453444583, F1 SCORE0.32211313698,
Round13, ROCAUC0.344444444444, LOGLOSS0.725564662291, F1 SCORE0.327450980392,
Round14, ROCAUC0.712568306011, LOGLOSS0.50631749846, F1 SCORE0.637790860667,
Round15, ROCAUC0.647402597403, LOGLOSS0.903362235571, F1 SCORE0.303183906225,
Round16, ROCAUC0.706477732794, LOGLOSS0.593426279511, F1 SCORE0.647824800237,
Round17, ROCAUC0.794891640867, LOGLOSS0.561480999836, F1 SCORE0.730121425774,
Round18, ROCAUC0.7375, LOGLOSS0.784385381186, F1 SCORE0.625225225225,
Round19, ROCAUC0.7, LOGLOSS0.631339258108, F1 SCORE0.735094339623,
Round20, ROCAUC0.690235690236, LOGLOSS0.603005406027, F1 SCORE0.622222222222,
Round21, ROCAUC0.624017957351, LOGLOSS0.673234982292, F1 SCORE0.525166191833,
Round22, ROCAUC0.641439205955, LOGLOSS0.870636264973, F1 SCORE0.466891133558,
Round23, ROCAUC0.547518923465, LOGLOSS0.788359915572, F1 SCORE0.475,
Round24, ROCAUC0.722991689751, LOGLOSS0.699275903208, F1 SCORE0.493333333333,
Round25, ROCAUC0.593055555556, LOGLOSS0.991472592202, F1 SCORE0.382653061224,
Round26, ROCAUC0.811403508772, LOGLOSS0.609837718912, F1 SCORE0.719696969697,
Round27, ROCAUC0.545762711864, LOGLOSS0.775876170849, F1 SCORE0.438630490956,
Round28, ROCAUC0.555397727273, LOGLOSS0.662928598565, F1 SCORE0.577049180328,
Round29, ROCAUC0.5625, LOGLOSS1.02656286245, F1 SCORE0.267441860465,
Round30, ROCAUC0.52380952381, LOGLOSS0.738196450567, F1 SCORE0.609090909091,
Round31, ROCAUC0.666666666667, LOGLOSS0.77660194176, F1 SCORE0.65771932985,
Round32, ROCAUC0.741496598639, LOGLOSS0.528311486223, F1 SCORE0.470449172577,
Round33, ROCAUC0.827160493827, LOGLOSS0.331198796303, F1 SCORE0.596698113208,
Round34, ROCAUC0.620192307692, LOGLOSS0.675175923793, F1 SCORE0.471344702264,
Round35, ROCAUC0.637362637363, LOGLOSS0.652437645508, F1 SCORE0.493223140496,
Round36, ROCAUC0.445925925926, LOGLOSS1.78573753229, F1 SCORE0.374699374699,
Round37, ROCAUC0.568, LOGLOSS0.565800257371, F1 SCORE0.452861952862,
Round38, ROCAUC0.530990173847, LOGLOSS0.678128591886, F1 SCORE0.520202020202,
Round39, ROCAUC0.723214285714, LOGLOSS0.87044645121, F1 SCORE0.445,
Round40, ROCAUC0.610969387755, LOGLOSS0.598567888141, F1 SCORE0.429824561404,
Round41, ROCAUC0.674712643678, LOGLOSS0.594118558273, F1 SCORE0.478571428571,
Round42, ROCAUC0.598440545809, LOGLOSS0.85946343342, F1 SCORE0.590961098398,
Round43, ROCAUC0.647916666667, LOGLOSS0.811828026717, F1 SCORE0.440802675585,
Round44, ROCAUC0.640873015873, LOGLOSS0.869800857195, F1 SCORE0.490196078431,
Round45, ROCAUC0.745535714286, LOGLOSS0.557671718299, F1 SCORE0.577574967405,
Round46, ROCAUC0.617592592593, LOGLOSS0.670887525411, F1 SCORE0.510416666667,
TOTAL All round, ROCAUC[0.62382445 0.4973545  0.65290179 0.77777778 0.61632653 0.53373016
 0.64893617 0.69105691 0.71142857 0.59586207 0.76296296 0.92156863
 0.65584416 0.34444444 0.71256831 0.6474026  0.70647773 0.79489164
 0.7375     0.7        0.69023569 0.62401796 0.64143921 0.54751892
 0.72299169 0.59305556 0.81140351 0.54576271 0.55539773 0.5625
 0.52380952 0.66666667 0.7414966  0.82716049 0.62019231 0.63736264
 0.44592593 0.568      0.53099017 0.72321429 0.61096939 0.67471264
 0.59844055 0.64791667 0.64087302 0.74553571 0.61759259], LOGLOSS[0.92942813 0.72516275 0.65129194 0.84069598 0.61222967 1.42515717
 0.7244654  0.59428876 0.50738912 0.97139496 0.47544359 0.75469852
 1.33453445 0.72556466 0.5063175  0.90336224 0.59342628 0.561481
 0.78438538 0.63133926 0.60300541 0.67323498 0.87063626 0.78835992
 0.6992759  0.99147259 0.60983772 0.77587617 0.6629286  1.02656286
 0.73819645 0.77660194 0.52831149 0.3311988  0.67517592 0.65243765
 1.78573753 0.56580026 0.67812859 0.87044645 0.59856789 0.59411856
 0.85946343 0.81182803 0.86980086 0.55767172 0.67088753], F1 SCORE[0.40298507 0.52777778 0.6368254  0.58059211 0.63268366 0.31076582
 0.45       0.49642857 0.5954046  0.46710526 0.60606061 0.37469937
 0.32211314 0.32745098 0.63779086 0.30318391 0.6478248  0.73012143
 0.62522523 0.73509434 0.62222222 0.52516619 0.46689113 0.475
 0.49333333 0.38265306 0.71969697 0.43863049 0.57704918 0.26744186
