Round0, ROCAUC0.554858934169, LOGLOSS0.642638392001, F1 MACRO0.481311975591, F1 POS0.260869565217, ACCURACY0.575, PRECISION0.482142857143, RECALL0.481191222571
Round1, ROCAUC0.410052910053, LOGLOSS0.676306967642, F1 MACRO0.410566868465, F1 POS0.0869565217391, ACCURACY0.588235294118, PRECISION0.427606177606, RECALL0.400793650794
Round2, ROCAUC0.379464285714, LOGLOSS0.712904447182, F1 MACRO0.371428571429, F1 POS0.0, ACCURACY0.590909090909, PRECISION0.309523809524, RECALL0.464285714286
Round3, ROCAUC0.515432098765, LOGLOSS0.707436588465, F1 MACRO0.427852998066, F1 POS0.382978723404, ACCURACY0.43137254902, PRECISION0.434677419355, RECALL0.4375
Round4, ROCAUC0.286734693878, LOGLOSS0.720292307893, F1 MACRO0.369485294118, F1 POS0.176470588235, ACCURACY0.428571428571, PRECISION0.385344827586, RECALL0.364285714286
Round5, ROCAUC0.605654761905, LOGLOSS0.691557991332, F1 MACRO0.604497354497, F1 POS0.690476190476, ACCURACY0.623188405797, PRECISION0.614898989899, RECALL0.635416666667
Round6, ROCAUC0.55585106383, LOGLOSS0.642358255386, F1 MACRO0.575438596491, F1 POS0.266666666667, ACCURACY0.8, PRECISION0.580357142857, RECALL0.571808510638
Round7, ROCAUC0.585365853659, LOGLOSS0.528554608847, F1 MACRO0.536692223439, F1 POS0.181818181818, ACCURACY0.808510638298, PRECISION0.540476190476, RECALL0.534552845528
Round8, ROCAUC0.734285714286, LOGLOSS0.611145524184, F1 MACRO0.72049689441, F1 POS0.571428571429, ACCURACY0.8, PRECISION0.713903743316, RECALL0.728571428571
Round9, ROCAUC0.479310344828, LOGLOSS0.693627096989, F1 MACRO0.469239170004, F1 POS0.597014925373, ACCURACY0.5, PRECISION0.529761904762, RECALL0.520689655172
Round10, ROCAUC0.655555555556, LOGLOSS0.621710219444, F1 MACRO0.523744911805, F1 POS0.181818181818, ACCURACY0.769230769231, PRECISION0.641891891892, RECALL0.538888888889
Round11, ROCAUC0.313725490196, LOGLOSS0.573699838267, F1 MACRO0.440860215054, F1 POS0.0, ACCURACY0.788461538462, PRECISION0.488095238095, RECALL0.401960784314
Round12, ROCAUC0.62987012987, LOGLOSS0.684503090978, F1 MACRO0.656565656566, F1 POS0.622222222222, ACCURACY0.66, PRECISION0.699643493761, RECALL0.681818181818
Round13, ROCAUC0.597222222222, LOGLOSS0.684718712252, F1 MACRO0.489863013699, F1 POS0.24, ACCURACY0.612244897959, PRECISION0.553571428571, RECALL0.675
Round14, ROCAUC0.585792349727, LOGLOSS0.595698934244, F1 MACRO0.488721804511, F1 POS0.105263157895, ACCURACY0.776315789474, PRECISION0.527777777778, RECALL0.508743169399
