Round0, ROCAUC0.504702194357, LOGLOSS0.660976663977, F1 MACRO0.413287316652, F1 POS0.105263157895, ACCURACY0.575, PRECISION0.40625, RECALL0.424764890282
Round1, ROCAUC0.402116402116, LOGLOSS0.672644148855, F1 MACRO0.443636363636, F1 POS0.16, ACCURACY0.588235294118, PRECISION0.4625, RECALL0.444444444444
Round2, ROCAUC0.379464285714, LOGLOSS0.719288644466, F1 MACRO0.352941176471, F1 POS0.0, ACCURACY0.545454545455, PRECISION0.3, RECALL0.428571428571
Round3, ROCAUC0.429012345679, LOGLOSS0.708066174797, F1 MACRO0.465322580645, F1 POS0.58064516129, ACCURACY0.490196078431, PRECISION0.475892857143, RECALL0.479166666667
Round4, ROCAUC0.163265306122, LOGLOSS0.797645767124, F1 MACRO0.240141781125, F1 POS0.0540540540541, ACCURACY0.285714285714, PRECISION0.271739130435, RECALL0.221428571429
Round5, ROCAUC0.59126984127, LOGLOSS0.69006575536, F1 MACRO0.62969588551, F1 POS0.720930232558, ACCURACY0.652173913043, PRECISION0.633701188455, RECALL0.65625
Round6, ROCAUC0.457446808511, LOGLOSS0.685925277797, F1 MACRO0.47776111944, F1 POS0.173913043478, ACCURACY0.654545454545, PRECISION0.491666666667, RECALL0.48670212766
Round7, ROCAUC0.585365853659, LOGLOSS0.686146384858, F1 MACRO0.522357723577, F1 POS0.166666666667, ACCURACY0.787234042553, PRECISION0.522357723577, RECALL0.522357723577
Round8, ROCAUC0.622857142857, LOGLOSS0.650909396013, F1 MACRO0.581738655003, F1 POS0.451612903226, ACCURACY0.622222222222, PRECISION0.604166666667, RECALL0.65
Round9, ROCAUC0.420689655172, LOGLOSS0.695766982105, F1 MACRO0.431578947368, F1 POS0.263157894737, ACCURACY0.481481481481, PRECISION0.448405253283, RECALL0.462068965517
Round10, ROCAUC0.803703703704, LOGLOSS0.579847776737, F1 MACRO0.60685483871, F1 POS0.375, ACCURACY0.74358974359, PRECISION0.620535714286, RECALL0.6
Round11, ROCAUC0.725490196078, LOGLOSS0.613903548855, F1 MACRO0.463917525773, F1 POS0.0, ACCURACY0.865384615385, PRECISION0.489130434783, RECALL0.441176470588
Round12, ROCAUC0.587662337662, LOGLOSS0.692870646715, F1 MACRO0.559294871795, F1 POS0.541666666667, ACCURACY0.56, PRECISION0.575, RECALL0.573051948052
Round13, ROCAUC0.861111111111, LOGLOSS0.699516744638, F1 MACRO0.355263157895, F1 POS0.210526315789, ACCURACY0.387755102041, PRECISION0.558823529412, RECALL0.666666666667
Round14, ROCAUC0.468852459016, LOGLOSS0.692126403514, F1 MACRO0.473593073593, F1 POS0.238095238095, ACCURACY0.578947368421, PRECISION0.490551776266, RECALL0.486338797814
Round15, ROCAUC0.512337662338, LOGLOSS0.684229521507, F1 MACRO0.541883116883, F1 POS0.690909090909, ACCURACY0.590361445783, PRECISION0.541883116883, RECALL0.541883116883
Round16, ROCAUC0.48987854251, LOGLOSS0.739165639877, F1 MACRO0.388111888112, F1 POS0.230769230769, ACCURACY0.428571428571, PRECISION0.464019851117, RECALL0.441295546559
Round17, ROCAUC0.606811145511, LOGLOSS0.70281853316, F1 MACRO0.4014571949, F1 POS0.491803278689, ACCURACY0.415094339623, PRECISION0.496753246753, RECALL0.497678018576
Round18, ROCAUC0.69765625, LOGLOSS0.68945518136, F1 MACRO0.416182733256, F1 POS0.539682539683, ACCURACY0.442307692308, PRECISION0.531007751938, RECALL0.51875
Round19, ROCAUC0.548571428571, LOGLOSS0.698973278205, F1 MACRO0.313863476425, F1 POS0.489795918367, ACCURACY0.358974358974, PRECISION0.421428571429, RECALL0.468571428571
Round20, ROCAUC0.373737373737, LOGLOSS0.730893753323, F1 MACRO0.372307692308, F1 POS0.36, ACCURACY0.372549019608, PRECISION0.403782894737, RECALL0.401515151515
Round21, ROCAUC0.501683501684, LOGLOSS0.72505419006, F1 MACRO0.409722222222, F1 POS0.527777777778, ACCURACY0.433333333333, PRECISION0.444444444444, RECALL0.457912457912
Round22, ROCAUC0.557071960298, LOGLOSS0.700141130832, F1 MACRO0.348323170732, F1 POS0.634146341463, ACCURACY0.473684210526, PRECISION0.732142857143, RECALL0.516129032258
Round23, ROCAUC0.454163162321, LOGLOSS0.726622546145, F1 MACRO0.44, F1 POS0.48, ACCURACY0.442857142857, PRECISION0.445261437908, RECALL0.443650126156
Round24, ROCAUC0.502770083102, LOGLOSS0.692551888918, F1 MACRO0.491190979563, F1 POS0.558139534884, ACCURACY0.5, PRECISION0.5, RECALL0.5
Round25, ROCAUC0.535416666667, LOGLOSS0.687142313301, F1 MACRO0.524942711088, F1 POS0.623655913978, ACCURACY0.545454545455, PRECISION0.526221264368, RECALL0.525347222222
Round26, ROCAUC0.561403508772, LOGLOSS0.684402691351, F1 MACRO0.589800443459, F1 POS0.634146341463, ACCURACY0.594594594595, PRECISION0.595454545455, RECALL0.592105263158
Round27, ROCAUC0.533050847458, LOGLOSS0.611004010409, F1 MACRO0.458216916434, F1 POS0.129032258065, ACCURACY0.658227848101, PRECISION0.458556149733, RECALL0.473728813559
Round28, ROCAUC0.548295454545, LOGLOSS0.779953631551, F1 MACRO0.301400560224, F1 POS0.43137254902, ACCURACY0.325581395349, PRECISION0.6375, RECALL0.546875
Round29, ROCAUC0.478260869565, LOGLOSS0.758077927998, F1 MACRO0.285714285714, F1 POS0.047619047619, ACCURACY0.365079365079, PRECISION0.430327868852, RECALL0.490760869565
Round30, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.14, F1 POS0.28, ACCURACY0.162790697674, PRECISION0.0813953488372, RECALL0.5
Round31, ROCAUC0.616279069767, LOGLOSS0.684243632775, F1 MACRO0.522012578616, F1 POS0.377358490566, ACCURACY0.565789473684, PRECISION0.544642857143, RECALL0.535236081748
Round32, ROCAUC0.426870748299, LOGLOSS0.685569227274, F1 MACRO0.362601626016, F1 POS0.0666666666667, ACCURACY0.5, PRECISION0.36875, RECALL0.357142857143
Round33, ROCAUC0.666666666667, LOGLOSS0.617640013758, F1 MACRO0.514893617021, F1 POS0.2, ACCURACY0.719298245614, PRECISION0.546323529412, RECALL0.694444444444
Round34, ROCAUC0.458333333333, LOGLOSS0.620864846667, F1 MACRO0.478632478632, F1 POS0.111111111111, ACCURACY0.737704918033, PRECISION0.492857142857, RECALL0.496794871795
Round35, ROCAUC0.476648351648, LOGLOSS0.729524369109, F1 MACRO0.313479623824, F1 POS0.454545454545, ACCURACY0.342465753425, PRECISION0.56592039801, RECALL0.524267399267
Round36, ROCAUC0.598518518519, LOGLOSS0.679113976657, F1 MACRO0.596004439512, F1 POS0.603773584906, ACCURACY0.596153846154, PRECISION0.598214285714, RECALL0.597777777778
Round37, ROCAUC0.638666666667, LOGLOSS0.638697222104, F1 MACRO0.544817927171, F1 POS0.285714285714, ACCURACY0.692307692308, PRECISION0.548076923077, RECALL0.543333333333
Round38, ROCAUC0.41156462585, LOGLOSS0.682985134815, F1 MACRO0.508771929825, F1 POS0.263157894737, ACCURACY0.631578947368, PRECISION0.558041958042, RECALL0.531368102797
Round39, ROCAUC0.380952380952, LOGLOSS0.722182249701, F1 MACRO0.361590397599, F1 POS0.46511627907, ACCURACY0.378378378378, PRECISION0.360606060606, RECALL0.363095238095
Round40, ROCAUC0.565051020408, LOGLOSS0.755509755245, F1 MACRO0.399431414357, F1 POS0.380952380952, ACCURACY0.4, PRECISION0.516548463357, RECALL0.517857142857
Round41, ROCAUC0.512643678161, LOGLOSS0.659808859433, F1 MACRO0.501949317739, F1 POS0.263157894737, ACCURACY0.616438356164, PRECISION0.508695652174, RECALL0.511494252874
Round42, ROCAUC0.49269005848, LOGLOSS0.693379131189, F1 MACRO0.346926713948, F1 POS0.0555555555556, ACCURACY0.476923076923, PRECISION0.323412698413, RECALL0.413255360624
Round43, ROCAUC0.485416666667, LOGLOSS0.708321158859, F1 MACRO0.494252873563, F1 POS0.333333333333, ACCURACY0.545454545455, PRECISION0.529411764706, RECALL0.520833333333
Round44, ROCAUC0.386904761905, LOGLOSS0.687913126945, F1 MACRO0.518011161847, F1 POS0.296296296296, ACCURACY0.62, PRECISION0.518711018711, RECALL0.517857142857
Round45, ROCAUC0.613839285714, LOGLOSS0.699844524264, F1 MACRO0.388888888889, F1 POS0.388888888889, ACCURACY0.388888888889, PRECISION0.5625, RECALL0.5625
Round46, ROCAUC0.462962962963, LOGLOSS0.720690180013, F1 MACRO0.403985507246, F1 POS0.416666666667, ACCURACY0.404255319149, PRECISION0.415413533835, RECALL0.416666666667
TOTAL All round, ROCAUC0.523364402045, LOGLOSS0.692247258406, F1 MACRO0.440356444773, F1 POS0.343673956189, ACCURACY0.522192191625, PRECISION0.489766522907, RECALL0.501342867102
