Round0, ROCAUC0.492163009404, LOGLOSS0.659557162225, F1 MACRO0.515738498789, F1 POS0.285714285714, ACCURACY0.625, PRECISION0.516666666667, RECALL0.515673981191
Round1, ROCAUC0.361111111111, LOGLOSS0.685089089122, F1 MACRO0.471111111111, F1 POS0.222222222222, ACCURACY0.588235294118, PRECISION0.492424242424, RECALL0.488095238095
Round2, ROCAUC0.470982142857, LOGLOSS0.675942916762, F1 MACRO0.53091684435, F1 POS0.285714285714, ACCURACY0.659090909091, PRECISION0.633333333333, RECALL0.558035714286
Round3, ROCAUC0.50462962963, LOGLOSS0.718936193807, F1 MACRO0.490203918433, F1 POS0.390243902439, ACCURACY0.509803921569, PRECISION0.528957528958, RECALL0.523148148148
Round4, ROCAUC0.280612244898, LOGLOSS0.731992155922, F1 MACRO0.291841491841, F1 POS0.0606060606061, ACCURACY0.367346938776, PRECISION0.309649122807, RECALL0.278571428571
Round5, ROCAUC0.579861111111, LOGLOSS0.698724913856, F1 MACRO0.520833333333, F1 POS0.666666666667, ACCURACY0.565217391304, PRECISION0.52380952381, RECALL0.526785714286
Round6, ROCAUC0.340425531915, LOGLOSS0.676015608419, F1 MACRO0.45, F1 POS0.1, ACCURACY0.672727272727, PRECISION0.460271317829, RECALL0.445478723404
Round7, ROCAUC0.467479674797, LOGLOSS0.656925811412, F1 MACRO0.569934640523, F1 POS0.222222222222, ACCURACY0.851063829787, PRECISION0.609848484848, RECALL0.558943089431
Round8, ROCAUC0.737142857143, LOGLOSS0.646352544758, F1 MACRO0.699197860963, F1 POS0.545454545455, ACCURACY0.777777777778, PRECISION0.689393939394, RECALL0.714285714286
Round9, ROCAUC0.542068965517, LOGLOSS0.693794943116, F1 MACRO0.532467532468, F1 POS0.636363636364, ACCURACY0.555555555556, PRECISION0.602251407129, RECALL0.575172413793
Round10, ROCAUC0.655555555556, LOGLOSS0.643255887123, F1 MACRO0.638888888889, F1 POS0.444444444444, ACCURACY0.74358974359, PRECISION0.638888888889, RECALL0.638888888889
Round11, ROCAUC0.647058823529, LOGLOSS0.604339168622, F1 MACRO0.422222222222, F1 POS0.0, ACCURACY0.730769230769, PRECISION0.487179487179, RECALL0.372549019608
Round12, ROCAUC0.529220779221, LOGLOSS0.705494135022, F1 MACRO0.5, F1 POS0.6, ACCURACY0.52, PRECISION0.503472222222, RECALL0.503246753247
Round13, ROCAUC0.661111111111, LOGLOSS0.694111096616, F1 MACRO0.297262059974, F1 POS0.153846153846, ACCURACY0.326530612245, PRECISION0.507142857143, RECALL0.519444444444
Round14, ROCAUC0.479234972678, LOGLOSS0.687893746715, F1 MACRO0.477463712758, F1 POS0.181818181818, ACCURACY0.644736842105, PRECISION0.479885057471, RECALL0.477049180328
Round15, ROCAUC0.533766233766, LOGLOSS0.693328137857, F1 MACRO0.48125, F1 POS0.5625, ACCURACY0.493975903614, PRECISION0.49593495935, RECALL0.495454545455
Round16, ROCAUC0.523616734143, LOGLOSS0.696636933088, F1 MACRO0.464285714286, F1 POS0.357142857143, ACCURACY0.485714285714, PRECISION0.560723514212, RECALL0.595141700405
Round17, ROCAUC0.495356037152, LOGLOSS0.733240896801, F1 MACRO0.394285714286, F1 POS0.428571428571, ACCURACY0.396226415094, PRECISION0.443412162162, RECALL0.448142414861
Round18, ROCAUC0.63125, LOGLOSS0.690571562602, F1 MACRO0.517625231911, F1 POS0.545454545455, ACCURACY0.519230769231, PRECISION0.567226890756, RECALL0.5625
Round19, ROCAUC0.671428571429, LOGLOSS0.682846340613, F1 MACRO0.535714285714, F1 POS0.571428571429, ACCURACY0.538461538462, PRECISION0.623376623377, RECALL0.608571428571
Round20, ROCAUC0.575757575758, LOGLOSS0.674042521154, F1 MACRO0.54328358209, F1 POS0.4, ACCURACY0.588235294118, PRECISION0.544117647059, RECALL0.542929292929
Round21, ROCAUC0.504489337823, LOGLOSS0.700060627858, F1 MACRO0.408617290904, F1 POS0.477611940299, ACCURACY0.416666666667, PRECISION0.425, RECALL0.43265993266
Round22, ROCAUC0.604218362283, LOGLOSS0.698412816775, F1 MACRO0.447368421053, F1 POS0.631578947368, ACCURACY0.508771929825, PRECISION0.597142857143, RECALL0.542183622829
Round23, ROCAUC0.607232968881, LOGLOSS0.676886514681, F1 MACRO0.517657192076, F1 POS0.627906976744, ACCURACY0.542857142857, PRECISION0.52, RECALL0.518923465097
Round24, ROCAUC0.518005540166, LOGLOSS0.722296797916, F1 MACRO0.437632135307, F1 POS0.511627906977, ACCURACY0.447368421053, PRECISION0.443452380952, RECALL0.447368421053
Round25, ROCAUC0.508333333333, LOGLOSS0.69600103931, F1 MACRO0.583638583639, F1 POS0.659340659341, ACCURACY0.597402597403, PRECISION0.584151472651, RECALL0.583333333333
Round26, ROCAUC0.631578947368, LOGLOSS0.67781996727, F1 MACRO0.62134502924, F1 POS0.611111111111, ACCURACY0.621621621622, PRECISION0.623529411765, RECALL0.622807017544
Round27, ROCAUC0.464406779661, LOGLOSS0.65316896499, F1 MACRO0.559515151515, F1 POS0.30303030303, ACCURACY0.708860759494, PRECISION0.578671328671, RECALL0.557203389831
Round28, ROCAUC0.576704545455, LOGLOSS0.757322858239, F1 MACRO0.387061403509, F1 POS0.458333333333, ACCURACY0.395348837209, PRECISION0.648648648649, RECALL0.59375
Round29, ROCAUC0.528260869565, LOGLOSS0.692422227254, F1 MACRO0.511086474501, F1 POS0.658536585366, ACCURACY0.555555555556, PRECISION0.511904761905, RECALL0.511413043478
Round30, ROCAUC0.5, LOGLOSS0.693147182465, F1 MACRO0.14, F1 POS0.28, ACCURACY0.162790697674, PRECISION0.0813953488372, RECALL0.5
Round31, ROCAUC0.636715997181, LOGLOSS0.670098555715, F1 MACRO0.559420289855, F1 POS0.466666666667, ACCURACY0.578947368421, PRECISION0.565381708239, RECALL0.560958421424
Round32, ROCAUC0.5, LOGLOSS0.614559818591, F1 MACRO0.416666666667, F1 POS0.0, ACCURACY0.714285714286, PRECISION0.37037037037, RECALL0.47619047619
Round33, ROCAUC0.79012345679, LOGLOSS0.61488001859, F1 MACRO0.537028189202, F1 POS0.260869565217, ACCURACY0.701754385965, PRECISION0.575, RECALL0.842592592593
Round34, ROCAUC0.349358974359, LOGLOSS0.653106756386, F1 MACRO0.413461538462, F1 POS0.0769230769231, ACCURACY0.606557377049, PRECISION0.413461538462, RECALL0.413461538462
Round35, ROCAUC0.548076923077, LOGLOSS0.70322283735, F1 MACRO0.451951951952, F1 POS0.444444444444, ACCURACY0.452054794521, PRECISION0.543226381462, RECALL0.544413919414
Round36, ROCAUC0.667407407407, LOGLOSS0.683931103119, F1 MACRO0.576296296296, F1 POS0.592592592593, ACCURACY0.576923076923, PRECISION0.580209895052, RECALL0.579259259259
Round37, ROCAUC0.598666666667, LOGLOSS0.632405703801, F1 MACRO0.628571428571, F1 POS0.4, ACCURACY0.769230769231, PRECISION0.659090909091, RECALL0.616666666667
Round38, ROCAUC0.521164021164, LOGLOSS0.679014062411, F1 MACRO0.392, F1 POS0.0, ACCURACY0.644736842105, PRECISION0.322368421053, RECALL0.5
Round39, ROCAUC0.418154761905, LOGLOSS0.694400249301, F1 MACRO0.425465838509, F1 POS0.565217391304, ACCURACY0.459459459459, PRECISION0.426666666667, RECALL0.434523809524
Round40, ROCAUC0.704719387755, LOGLOSS0.648452169162, F1 MACRO0.654255319149, F1 POS0.5, ACCURACY0.723076923077, PRECISION0.647222222222, RECALL0.669005102041
Round41, ROCAUC0.498850574713, LOGLOSS0.692037623223, F1 MACRO0.441626409018, F1 POS0.296296296296, ACCURACY0.479452054795, PRECISION0.499622926094, RECALL0.499425287356
Round42, ROCAUC0.543859649123, LOGLOSS0.680508336196, F1 MACRO0.5125, F1 POS0.4, ACCURACY0.538461538462, PRECISION0.515010351967, RECALL0.514132553606
Round43, ROCAUC0.495833333333, LOGLOSS0.70164181563, F1 MACRO0.472766884532, F1 POS0.352941176471, ACCURACY0.5, PRECISION0.480952380952, RECALL0.483333333333
