Round0, ROCAUC0.608150470219, LOGLOSS0.782210070058, F1 SCORE0.393939393939,
Round1, ROCAUC0.486772486772, LOGLOSS0.701347395486, F1 SCORE0.443636363636,
Round2, ROCAUC0.569196428571, LOGLOSS0.670858855952, F1 SCORE0.576923076923,
Round3, ROCAUC0.731481481481, LOGLOSS0.705681217871, F1 SCORE0.597089397089,
Round4, ROCAUC0.523469387755, LOGLOSS0.646150265117, F1 SCORE0.363636363636,
Round5, ROCAUC0.448412698413, LOGLOSS0.787161959686, F1 SCORE0.397700659996,
Round6, ROCAUC0.742021276596, LOGLOSS0.421335611492, F1 SCORE0.625850340136,
Round7, ROCAUC0.536585365854, LOGLOSS0.882572527658, F1 SCORE0.461458333333,
Round8, ROCAUC0.774285714286, LOGLOSS0.50160775255, F1 SCORE0.543918918919,
Round9, ROCAUC0.544827586207, LOGLOSS0.675264269114, F1 SCORE0.609907120743,
Round10, ROCAUC0.677777777778, LOGLOSS0.591967761899, F1 SCORE0.617305976806,
Round11, ROCAUC0.411764705882, LOGLOSS0.64946740178, F1 SCORE0.388235294118,
Round12, ROCAUC0.582792207792, LOGLOSS0.693703594208, F1 SCORE0.56,
Round13, ROCAUC0.566666666667, LOGLOSS0.56733138099, F1 SCORE0.40243902439,
Round14, ROCAUC0.76174863388, LOGLOSS0.533228840483, F1 SCORE0.573137973138,
Round15, ROCAUC0.556168831169, LOGLOSS0.867812892759, F1 SCORE0.373247033441,
Round16, ROCAUC0.693657219973, LOGLOSS0.5564234509, F1 SCORE0.675925925926,
Round17, ROCAUC0.647058823529, LOGLOSS0.681530137599, F1 SCORE0.461382113821,
Round18, ROCAUC0.684375, LOGLOSS0.71811667905, F1 SCORE0.559499798306,
Round19, ROCAUC0.687142857143, LOGLOSS0.611027155167, F1 SCORE0.631808278867,
Round20, ROCAUC0.661616161616, LOGLOSS0.629495797788, F1 SCORE0.613636363636,
Round21, ROCAUC0.649270482604, LOGLOSS0.66937623024, F1 SCORE0.637826961771,
Round22, ROCAUC0.617866004963, LOGLOSS0.737002660569, F1 SCORE0.579852579853,
Round23, ROCAUC0.588309503785, LOGLOSS0.745235529542, F1 SCORE0.384828862165,
Round24, ROCAUC0.66620498615, LOGLOSS0.661895173161, F1 SCORE0.684210526316,
Round25, ROCAUC0.670138888889, LOGLOSS0.837700481829, F1 SCORE0.448484848485,
Round26, ROCAUC0.704678362573, LOGLOSS0.642679036469, F1 SCORE0.644493717664,
Round27, ROCAUC0.526271186441, LOGLOSS0.712354738878, F1 SCORE0.482413793103,
Round28, ROCAUC0.627840909091, LOGLOSS0.64782885514, F1 SCORE0.629310344828,
Round29, ROCAUC0.513043478261, LOGLOSS1.51145359653, F1 SCORE0.285714285714,
Round30, ROCAUC0.507936507937, LOGLOSS0.690914425739, F1 SCORE0.479838709677,
Round31, ROCAUC0.616631430585, LOGLOSS0.882753952952, F1 SCORE0.529896907216,
