Round34, ROCAUC0.389423076923, LOGLOSS0.628588613917, F1 MACRO0.532447623914, F1 POS0.210526315789, ACCURACY0.754098360656, PRECISION0.566666666667, RECALL0.535256410256
Round35, ROCAUC0.611263736264, LOGLOSS0.684092057078, F1 MACRO0.565476190476, F1 POS0.380952380952, ACCURACY0.643835616438, PRECISION0.565476190476, RECALL0.565476190476
Round36, ROCAUC0.633333333333, LOGLOSS0.680586002194, F1 MACRO0.596004439512, F1 POS0.603773584906, ACCURACY0.596153846154, PRECISION0.598214285714, RECALL0.597777777778
Round37, ROCAUC0.59, LOGLOSS0.624720938848, F1 MACRO0.56228956229, F1 POS0.272727272727, ACCURACY0.753846153846, PRECISION0.610837438424, RECALL0.56
Round38, ROCAUC0.452003023432, LOGLOSS0.672175417997, F1 MACRO0.53601953602, F1 POS0.285714285714, ACCURACY0.671052631579, PRECISION0.650735294118, RECALL0.561980347695
Round39, ROCAUC0.491071428571, LOGLOSS0.695197725618, F1 MACRO0.394345238095, F1 POS0.3125, ACCURACY0.405405405405, PRECISION0.41958041958, RECALL0.431547619048
Round40, ROCAUC0.593112244898, LOGLOSS0.659055626392, F1 MACRO0.566666666667, F1 POS0.4, ACCURACY0.630769230769, PRECISION0.569105691057, RECALL0.586734693878
Round41, ROCAUC0.431034482759, LOGLOSS0.668116311913, F1 MACRO0.47144006436, F1 POS0.181818181818, ACCURACY0.630136986301, PRECISION0.474242424242, RECALL0.470689655172
Round42, ROCAUC0.550682261209, LOGLOSS0.679188828285, F1 MACRO0.578754578755, F1 POS0.410256410256, ACCURACY0.646153846154, PRECISION0.654088050314, RECALL0.595516569201
Round43, ROCAUC0.458333333333, LOGLOSS0.709901027381, F1 MACRO0.494252873563, F1 POS0.333333333333, ACCURACY0.545454545455, PRECISION0.529411764706, RECALL0.520833333333
Round44, ROCAUC0.332341269841, LOGLOSS0.689288204908, F1 MACRO0.376299376299, F1 POS0.0769230769231, ACCURACY0.52, PRECISION0.370614035088, RECALL0.382936507937
Round45, ROCAUC0.660714285714, LOGLOSS0.671008693675, F1 MACRO0.607272727273, F1 POS0.454545454545, ACCURACY0.666666666667, PRECISION0.61038961039, RECALL0.651785714286
Round46, ROCAUC0.502777777778, LOGLOSS0.69282675804, F1 MACRO0.509687034277, F1 POS0.363636363636, ACCURACY0.553191489362, PRECISION0.524886877828, RECALL0.52037037037
TOTAL All round, ROCAUC0.533487152596, LOGLOSS0.674257606822, F1 MACRO0.488533495755, F1 POS0.327788611017, ACCURACY0.585693949005, PRECISION0.524204028485, RECALL0.52427977718
