Round0, ROCAUC0.415360501567, LOGLOSS0.675855630636, F1 MACRO0.482312338223, F1 POS0.210526315789, ACCURACY0.625, PRECISION0.484375, RECALL0.487460815047
Round1, ROCAUC0.349206349206, LOGLOSS0.667479549553, F1 MACRO0.455128205128, F1 POS0.166666666667, ACCURACY0.607843137255, PRECISION0.469444444444, RECALL0.456349206349
Round2, ROCAUC0.341517857143, LOGLOSS0.700518121096, F1 MACRO0.34328358209, F1 POS0.0, ACCURACY0.522727272727, PRECISION0.294871794872, RECALL0.410714285714
Round3, ROCAUC0.399691358025, LOGLOSS0.736571382658, F1 MACRO0.34261954262, F1 POS0.162162162162, ACCURACY0.392156862745, PRECISION0.357317073171, RECALL0.409722222222
Round4, ROCAUC0.368367346939, LOGLOSS0.719932676578, F1 MACRO0.338830584708, F1 POS0.0689655172414, ACCURACY0.448979591837, PRECISION0.342156862745, RECALL0.335714285714
Round5, ROCAUC0.65128968254, LOGLOSS0.68990883188, F1 MACRO0.547301587302, F1 POS0.586666666667, ACCURACY0.550724637681, PRECISION0.597883597884, RECALL0.610119047619
Round6, ROCAUC0.473404255319, LOGLOSS0.699587105621, F1 MACRO0.371639784946, F1 POS0.291666666667, ACCURACY0.381818181818, PRECISION0.554166666667, RECALL0.586436170213
Round7, ROCAUC0.654471544715, LOGLOSS0.561915641769, F1 MACRO0.639649507119, F1 POS0.363636363636, ACCURACY0.851063829787, PRECISION0.652380952381, RECALL0.630081300813
Round8, ROCAUC0.714285714286, LOGLOSS0.619036251969, F1 MACRO0.567307692308, F1 POS0.384615384615, ACCURACY0.644444444444, PRECISION0.570043103448, RECALL0.592857142857
Round9, ROCAUC0.492413793103, LOGLOSS0.706771636451, F1 MACRO0.353846153846, F1 POS0.0666666666667, ACCURACY0.481481481481, PRECISION0.355102040816, RECALL0.451034482759
Round10, ROCAUC0.788888888889, LOGLOSS0.652998944124, F1 MACRO0.685483870968, F1 POS0.5, ACCURACY0.794871794872, PRECISION0.707589285714, RECALL0.672222222222
